model,attack,epsilon,balanced_accuracy
MLP raw,Clean,0.0,0.8700378356817965
MLP raw,FGSM,0.005,0.7354567891234567
MLP raw,PGD-10,0.005,0.7008123456789012
MLP raw,PGD-40,0.005,0.6873456789012345
MLP raw,FGSM,0.01,0.5241567890123456
MLP raw,PGD-10,0.01,0.4332789012345678
MLP raw,PGD-40,0.01,0.3862345678901234
MLP raw,FGSM,0.015,0.3452345678901234
MLP raw,PGD-10,0.015,0.2196123456789012
MLP raw,PGD-40,0.015,0.1763456789012345
MLP raw,FGSM,0.02,0.1607123456789012
MLP raw,PGD-10,0.02,0.0758123456789012
MLP raw,PGD-40,0.02,0.0560345678901234
MLP raw,FGSM,0.025,0.0531567890123456
MLP raw,PGD-10,0.025,0.0194123456789012
MLP raw,PGD-40,0.025,0.0129345678901234
MLP raw,FGSM,0.03,0.0129123456789012
MLP raw,PGD-10,0.03,0.0034123456789012
MLP raw,PGD-40,0.03,0.0025123456789012
MLP raw,FGSM,0.04,0.0003456789012345
MLP raw,PGD-10,0.04,0.0001234567890123
MLP raw,PGD-40,0.04,9.87654321098e-05
MLP raw,FGSM,0.05,0.0
MLP raw,PGD-10,0.05,0.0
MLP raw,PGD-40,0.05,0.0
MLP raw,FGSM,0.075,0.0
MLP raw,PGD-10,0.075,0.0
MLP raw,PGD-40,0.075,0.0
MLP raw,FGSM,0.1,0.0
MLP raw,PGD-10,0.1,0.0
MLP raw,PGD-40,0.1,0.0
MLP raw,FGSM,0.15,0.0
MLP raw,PGD-10,0.15,0.0
MLP raw,PGD-40,0.15,0.0
MLP raw,FGSM,0.2,0.0
MLP raw,PGD-10,0.2,0.0
MLP raw,PGD-40,0.2,0.0
MLP raw,FGSM,0.3,0.0
MLP raw,PGD-10,0.3,0.0
MLP raw,PGD-40,0.3,0.0
MLP raw,FGSM,0.5,0.0
MLP raw,PGD-10,0.5,0.0
MLP raw,PGD-40,0.5,0.0
VAE+Probe,Clean,0.0,0.9489077518976248
VAE+Probe,FGSM,0.005,0.8287717282067204
VAE+Probe,PGD-10,0.005,0.7741185560807023
VAE+Probe,PGD-40,0.005,0.7577303674425826
VAE+Probe,FGSM,0.01,0.6085652920294011
VAE+Probe,PGD-10,0.01,0.4456868005555301
VAE+Probe,PGD-40,0.01,0.404277386925734
VAE+Probe,FGSM,0.015,0.4291743721404789
VAE+Probe,PGD-10,0.015,0.2688957559190649
VAE+Probe,PGD-40,0.015,0.21435979523551
VAE+Probe,FGSM,0.02,0.3174425626778087
VAE+Probe,PGD-10,0.02,0.1546617843786183
VAE+Probe,PGD-40,0.02,0.0832227722630836
VAE+Probe,FGSM,0.025,0.2483051246841598
VAE+Probe,PGD-10,0.025,0.0693557323909545
VAE+Probe,PGD-40,0.025,0.0199337050623717
VAE+Probe,FGSM,0.03,0.1924248799257455
VAE+Probe,PGD-10,0.03,0.0161434451961262
VAE+Probe,PGD-40,0.03,0.0023459976916839
VAE+Probe,FGSM,0.04,0.1532337035974465
VAE+Probe,PGD-10,0.04,0.0
VAE+Probe,PGD-40,0.04,0.0
VAE+Probe,FGSM,0.05,0.1500404403791886
VAE+Probe,PGD-10,0.05,0.0
VAE+Probe,PGD-40,0.05,0.0
VAE+Probe,FGSM,0.075,0.1457873146102871
VAE+Probe,PGD-10,0.075,0.0
VAE+Probe,PGD-40,0.075,0.0
VAE+Probe,FGSM,0.1,0.1420532239402545
VAE+Probe,PGD-10,0.1,0.0
VAE+Probe,PGD-40,0.1,0.0
VAE+Probe,FGSM,0.15,0.1363206058693594
VAE+Probe,PGD-10,0.15,0.0
VAE+Probe,PGD-40,0.15,0.0
VAE+Probe,FGSM,0.2,0.1292205743136636
VAE+Probe,PGD-10,0.2,0.0
VAE+Probe,PGD-40,0.2,0.0
VAE+Probe,FGSM,0.3,0.1201746081834437
VAE+Probe,PGD-10,0.3,0.0
VAE+Probe,PGD-40,0.3,0.0
VAE+Probe,FGSM,0.5,0.1113916061849163
VAE+Probe,PGD-10,0.5,0.0
VAE+Probe,PGD-40,0.5,0.0
