species,n_total,percentile,GMM_n_ood,GMM_n_indist,GMM_pct_ood,Decoder A_n_ood,Decoder A_n_indist,Decoder A_pct_ood,MARISMA_n_ood,MARISMA_n_indist,MARISMA_pct_ood,Intersection (3 agree)_n_ood,Intersection (3 agree)_n_indist,Intersection (3 agree)_pct_ood,Union (at least 1 agrees)_n_ood,Union (at least 1 agrees)_n_indist,Union (at least 1 agrees)_pct_ood
Achromobacter_Insolitus,24,0.01,0,24,0.0,0,24,0.0,21,3,87.5,0,24,0.0,21,3,87.5
Achromobacter_Insolitus,24,0.05,1,23,4.2,24,0,100.0,21,3,87.5,0,24,0.0,24,0,100.0
Achromobacter_Insolitus,24,0.1,19,5,79.2,24,0,100.0,23,1,95.8,18,6,75.0,24,0,100.0
Achromobacter_Insolitus,24,0.5,22,2,91.7,24,0,100.0,23,1,95.8,21,3,87.5,24,0,100.0
Achromobacter_Insolitus,24,1.0,23,1,95.8,24,0,100.0,23,1,95.8,22,2,91.7,24,0,100.0
Achromobacter_Xylosoxidans,205,0.01,0,205,0.0,0,205,0.0,179,26,87.3,0,205,0.0,179,26,87.3
Achromobacter_Xylosoxidans,205,0.05,14,191,6.8,203,2,99.0,185,20,90.2,11,194,5.4,204,1,99.5
Achromobacter_Xylosoxidans,205,0.1,97,108,47.3,205,0,100.0,195,10,95.1,87,118,42.4,205,0,100.0
Achromobacter_Xylosoxidans,205,0.5,182,23,88.8,205,0,100.0,203,2,99.0,180,25,87.8,205,0,100.0
Achromobacter_Xylosoxidans,205,1.0,202,3,98.5,205,0,100.0,203,2,99.0,200,5,97.6,205,0,100.0
Acinetobacter_Baumannii,435,0.01,37,398,8.5,0,435,0.0,70,365,16.1,0,435,0.0,104,331,23.9
Acinetobacter_Baumannii,435,0.05,83,352,19.1,179,256,41.1,92,343,21.1,11,424,2.5,206,229,47.4
Acinetobacter_Baumannii,435,0.1,421,14,96.8,223,212,51.3,141,294,32.4,132,303,30.3,432,3,99.3
Acinetobacter_Baumannii,435,0.5,434,1,99.8,296,139,68.0,297,138,68.3,260,175,59.8,435,0,100.0
Acinetobacter_Baumannii,435,1.0,434,1,99.8,314,121,72.2,363,72,83.4,295,140,67.8,435,0,100.0
Acinetobacter_Bereziniae,30,0.01,0,30,0.0,0,30,0.0,17,13,56.7,0,30,0.0,17,13,56.7
Acinetobacter_Bereziniae,30,0.05,3,27,10.0,27,3,90.0,20,10,66.7,0,30,0.0,27,3,90.0
Acinetobacter_Bereziniae,30,0.1,28,2,93.3,28,2,93.3,24,6,80.0,22,8,73.3,30,0,100.0
Acinetobacter_Bereziniae,30,0.5,30,0,100.0,30,0,100.0,27,3,90.0,27,3,90.0,30,0,100.0
Acinetobacter_Bereziniae,30,1.0,30,0,100.0,30,0,100.0,27,3,90.0,27,3,90.0,30,0,100.0
Acinetobacter_Johnsonii,40,0.01,0,40,0.0,0,40,0.0,26,14,65.0,0,40,0.0,26,14,65.0
Acinetobacter_Johnsonii,40,0.05,0,40,0.0,36,4,90.0,30,10,75.0,0,40,0.0,36,4,90.0
Acinetobacter_Johnsonii,40,0.1,29,11,72.5,36,4,90.0,34,6,85.0,24,16,60.0,39,1,97.5
Acinetobacter_Johnsonii,40,0.5,40,0,100.0,38,2,95.0,38,2,95.0,37,3,92.5,40,0,100.0
