species,n_total,percentile,GMM_n_ood,GMM_n_indist,GMM_pct_ood,Decoder A_n_ood,Decoder A_n_indist,Decoder A_pct_ood,MARISMA_n_ood,MARISMA_n_indist,MARISMA_pct_ood,Intersection (3 agree)_n_ood,Intersection (3 agree)_n_indist,Intersection (3 agree)_pct_ood,Union (at least 1 agrees)_n_ood,Union (at least 1 agrees)_n_indist,Union (at least 1 agrees)_pct_ood
Klebsiella,2151,0.01,0,2151,0.0,0,2151,0.0,92,2059,4.3,0,2151,0.0,92,2059,4.3
Klebsiella,2151,0.05,0,2151,0.0,12,2139,0.6,143,2008,6.6,0,2151,0.0,146,2005,6.8
Klebsiella,2151,0.1,1,2150,0.0,27,2124,1.3,354,1797,16.5,0,2151,0.0,366,1785,17.0
Klebsiella,2151,0.5,13,2138,0.6,117,2034,5.4,1460,691,67.9,8,2143,0.4,1480,671,68.8
Klebsiella,2151,1.0,19,2132,0.9,171,1980,7.9,1843,308,85.7,13,2138,0.6,1862,289,86.6
Escherichia,1998,0.01,8,1990,0.4,0,1998,0.0,181,1817,9.1,0,1998,0.0,188,1810,9.4
Escherichia,1998,0.05,77,1921,3.9,331,1667,16.6,239,1759,12.0,18,1980,0.9,399,1599,20.0
Escherichia,1998,0.1,361,1637,18.1,416,1582,20.8,396,1602,19.8,190,1808,9.5,594,1404,29.7
Escherichia,1998,0.5,640,1358,32.0,577,1421,28.9,851,1147,42.6,516,1482,25.8,896,1102,44.8
Escherichia,1998,1.0,672,1326,33.6,657,1341,32.9,1160,838,58.1,577,1421,28.9,1167,831,58.4
Staphylococcus,2168,0.01,1,2167,0.0,0,2168,0.0,4,2164,0.2,0,2168,0.0,5,2163,0.2
Staphylococcus,2168,0.05,2,2166,0.1,9,2159,0.4,6,2162,0.3,0,2168,0.0,11,2157,0.5
Staphylococcus,2168,0.1,8,2160,0.4,11,2157,0.5,11,2157,0.5,4,2164,0.2,18,2150,0.8
Staphylococcus,2168,0.5,26,2142,1.2,39,2129,1.8,138,2030,6.4,14,2154,0.6,149,2019,6.9
Staphylococcus,2168,1.0,42,2126,1.9,85,2083,3.9,444,1724,20.5,18,2150,0.8,462,1706,21.3
Pseudomonas,344,0.01,3,341,0.9,0,344,0.0,23,321,6.7,0,344,0.0,25,319,7.3
Pseudomonas,344,0.05,13,331,3.8,47,297,13.7,28,316,8.1,4,340,1.2,56,288,16.3
Pseudomonas,344,0.1,30,314,8.7,58,286,16.9,43,301,12.5,13,331,3.8,73,271,21.2
Pseudomonas,344,0.5,55,289,16.0,91,253,26.5,125,219,36.3,43,301,12.5,129,215,37.5
Pseudomonas,344,1.0,69,275,20.1,112,232,32.6,168,176,48.8,61,283,17.7,172,172,50.0
Enterococcus,171,0.01,0,171,0.0,0,171,0.0,3,168,1.8,0,171,0.0,3,168,1.8
Enterococcus,171,0.05,0,171,0.0,4,167,2.3,3,168,1.8,0,171,0.0,5,166,2.9
Enterococcus,171,0.1,1,170,0.6,6,165,3.5,5,166,2.9,1,170,0.6,7,164,4.1
Enterococcus,171,0.5,3,168,1.8,12,159,7.0,34,137,19.9,3,168,1.8,35,136,20.5
Enterococcus,171,1.0,5,166,2.9,18,153,10.5,75,96,43.9,4,167,2.3,77,94,45.0
Enterobacter,437,0.01,0,437,0.0,0,437,0.0,4,433,0.9,0,437,0.0,4,433,0.9
Enterobacter,437,0.05,0,437,0.0,2,435,0.5,8,429,1.8,0,437,0.0,8,429,1.8
Enterobacter,437,0.1,0,437,0.0,5,432,1.1,18,419,4.1,0,437,0.0,20,417,4.6
Enterobacter,437,0.5,1,436,0.2,29,408,6.6,127,310,29.1,1,436,0.2,129,308,29.5
Enterobacter,437,1.0,5,432,1.1,40,397,9.2,263,174,60.2,4,433,0.9,265,172,60.6
