species,n_total,percentile,GMM_n_ood,GMM_n_indist,GMM_pct_ood,Decoder A_n_ood,Decoder A_n_indist,Decoder A_pct_ood,MARISMA_n_ood,MARISMA_n_indist,MARISMA_pct_ood,Intersection (3 agree)_n_ood,Intersection (3 agree)_n_indist,Intersection (3 agree)_pct_ood,Union (at least 1 agrees)_n_ood,Union (at least 1 agrees)_n_indist,Union (at least 1 agrees)_pct_ood
Klebsiella,3169,0.01,0,3169,0.0,0,3169,0.0,5,3164,0.2,0,3169,0.0,5,3164,0.2
Klebsiella,3169,0.05,180,2989,5.7,725,2444,22.9,10,3159,0.3,0,3169,0.0,725,2444,22.9
Klebsiella,3169,0.1,187,2982,5.9,1149,2020,36.3,19,3150,0.6,0,3169,0.0,1155,2014,36.4
Klebsiella,3169,0.5,409,2760,12.9,2356,813,74.3,205,2964,6.5,115,3054,3.6,2379,790,75.1
Klebsiella,3169,1.0,968,2201,30.5,2802,367,88.4,865,2304,27.3,515,2654,16.3,2832,337,89.4
Escherichia,11041,0.01,0,11041,0.0,0,11041,0.0,11,11030,0.1,0,11041,0.0,11,11030,0.1
Escherichia,11041,0.05,409,10632,3.7,1183,9858,10.7,21,11020,0.2,0,11041,0.0,1183,9858,10.7
Escherichia,11041,0.1,613,10428,5.6,1828,9213,16.6,44,10997,0.4,28,11013,0.3,1893,9148,17.1
Escherichia,11041,0.5,8131,2910,73.6,4376,6665,39.6,594,10447,5.4,591,10450,5.4,8755,2286,79.3
Escherichia,11041,1.0,10780,261,97.6,6105,4936,55.3,2543,8498,23.0,2514,8527,22.8,10831,210,98.1
Staphylococcus,6708,0.01,0,6708,0.0,0,6708,0.0,23,6685,0.3,0,6708,0.0,23,6685,0.3
Staphylococcus,6708,0.05,109,6599,1.6,506,6202,7.5,28,6680,0.4,0,6708,0.0,508,6200,7.6
Staphylococcus,6708,0.1,2070,4638,30.9,796,5912,11.9,76,6632,1.1,75,6633,1.1,2318,4390,34.6
Staphylococcus,6708,0.5,6652,56,99.2,1936,4772,28.9,1550,5158,23.1,1248,5460,18.6,6656,52,99.2
Staphylococcus,6708,1.0,6703,5,99.9,2698,4010,40.2,4693,2015,70.0,2572,4136,38.3,6704,4,99.9
Pseudomonas,3647,0.01,0,3647,0.0,0,3647,0.0,30,3617,0.8,0,3647,0.0,30,3617,0.8
Pseudomonas,3647,0.05,162,3485,4.4,641,3006,17.6,40,3607,1.1,0,3647,0.0,641,3006,17.6
Pseudomonas,3647,0.1,249,3398,6.8,883,2764,24.2,78,3569,2.1,31,3616,0.9,923,2724,25.3
Pseudomonas,3647,0.5,2297,1350,63.0,1892,1755,51.9,947,2700,26.0,824,2823,22.6,2722,925,74.6
Pseudomonas,3647,1.0,3472,175,95.2,2493,1154,68.4,2625,1022,72.0,2187,1460,60.0,3520,127,96.5
Enterococcus,2115,0.01,0,2115,0.0,0,2115,0.0,6,2109,0.3,0,2115,0.0,6,2109,0.3
Enterococcus,2115,0.05,245,1870,11.6,501,1614,23.7,10,2105,0.5,0,2115,0.0,501,1614,23.7
Enterococcus,2115,0.1,287,1828,13.6,648,1467,30.6,29,2086,1.4,13,2102,0.6,670,1445,31.7
Enterococcus,2115,0.5,2017,98,95.4,1162,953,54.9,355,1760,16.8,351,1764,16.6,2030,85,96.0
Enterococcus,2115,1.0,2114,1,100.0,1536,579,72.6,1108,1007,52.4,1006,1109,47.6,2114,1,100.0
Enterobacter,1610,0.01,0,1610,0.0,0,1610,0.0,24,1586,1.5,0,1610,0.0,24,1586,1.5
Enterobacter,1610,0.05,42,1568,2.6,211,1399,13.1,33,1577,2.0,0,1610,0.0,211,1399,13.1
Enterobacter,1610,0.1,70,1540,4.3,326,1284,20.2,69,1541,4.3,12,1598,0.7,334,1276,20.7
Enterobacter,1610,0.5,1434,176,89.1,710,900,44.1,415,1195,25.8,371,1239,23.0,1489,121,92.5
Enterobacter,1610,1.0,1607,3,99.8,969,641,60.2,959,651,59.6,849,761,52.7,1610,0,100.0
