species,source,n,P99,P99.5,P99.9
Abiotrophia_Defectiva,DRIAMS,9,100.0,100.0,100.0
Achromobacter_Denitrificans,MS-UMG,2,100.0,100.0,100.0
Achromobacter_Insolitus,DRIAMS,18,100.0,100.0,100.0
Achromobacter_Insolitus,MARISMA,2,100.0,100.0,100.0
Achromobacter_Insolitus,MS-UMG,4,100.0,100.0,100.0
Achromobacter_Mucicolens,MARISMA,1,100.0,100.0,100.0
Achromobacter_Piechaudii,MS-UMG,3,100.0,100.0,100.0
Achromobacter_Spanius,DRIAMS,3,100.0,100.0,100.0
Achromobacter_Spanius,MS-UMG,1,100.0,100.0,100.0
Achromobacter_Species,MS-UMG,1,100.0,100.0,100.0
Achromobacter_Xylosoxidans,DRIAMS,122,100.0,100.0,100.0
Achromobacter_Xylosoxidans,MARISMA,35,100.0,100.0,100.0
Achromobacter_Xylosoxidans,MS-UMG,34,100.0,100.0,100.0
Achromobacter_Xylosoxidans,RKI,14,100.0,100.0,100.0
Acidovorax_Temperans,DRIAMS,5,100.0,100.0,100.0
Acidovorax_Temperans,MS-UMG,3,100.0,100.0,100.0
Acinetobacter_Baumannii,DRIAMS,58,100.0,100.0,82.8
Acinetobacter_Baumannii,MARISMA,31,90.3,87.1,48.4
Acinetobacter_Baumannii,MS-UMG,306,61.4,55.9,40.5
Acinetobacter_Baumannii,RKI,40,100.0,100.0,90.0
Acinetobacter_Baylyi,MS-UMG,2,100.0,100.0,50.0
Acinetobacter_Bereziniae,DRIAMS,1,100.0,100.0,100.0
Acinetobacter_Bereziniae,MARISMA,4,100.0,100.0,100.0
Acinetobacter_Bereziniae,MS-UMG,25,100.0,100.0,92.0
Acinetobacter_Calcoaceticus,DRIAMS,6,100.0,100.0,100.0
Acinetobacter_Dispersus,MS-UMG,2,100.0,100.0,100.0
Acinetobacter_Guillouiae,DRIAMS,1,100.0,100.0,100.0
Acinetobacter_Haemolyticus,DRIAMS,4,100.0,100.0,100.0
Acinetobacter_Haemolyticus,MARISMA,2,100.0,100.0,100.0
Acinetobacter_Haemolyticus,MS-UMG,1,100.0,100.0,100.0
Acinetobacter_Johnsonii,DRIAMS,13,100.0,92.3,92.3
Acinetobacter_Johnsonii,MS-UMG,27,96.3,96.3,88.9
Acinetobacter_Junii,DRIAMS,28,96.4,96.4,92.9
Acinetobacter_Junii,MS-UMG,10,100.0,100.0,100.0
Acinetobacter_Lwoffii,DRIAMS,6,100.0,100.0,100.0
Acinetobacter_Lwoffii,MS-UMG,12,100.0,91.7,83.3
Acinetobacter_Lwoffii,RKI,8,100.0,100.0,100.0
Acinetobacter_Nosocomialis,DRIAMS,4,100.0,100.0,100.0
Acinetobacter_Nosocomialis,MARISMA,2,100.0,100.0,100.0
Acinetobacter_Parvus,DRIAMS,4,100.0,100.0,100.0
Acinetobacter_Parvus,MS-UMG,1,100.0,100.0,100.0
Acinetobacter_Pittii,DRIAMS,74,100.0,100.0,93.2
Acinetobacter_Pittii,MARISMA,3,100.0,66.7,66.7
Acinetobacter_Pittii,RKI,8,100.0,100.0,75.0
Acinetobacter_Proteolyticus,MS-UMG,10,100.0,100.0,100.0
Acinetobacter_Radioresistens,DRIAMS,1,100.0,100.0,100.0
Acinetobacter_Radioresistens,MS-UMG,14,100.0,100.0,85.7
Acinetobacter_Schindleri,MS-UMG,1,100.0,100.0,100.0
Acinetobacter_Sp,DRIAMS,50,96.0,94.0,86.0
Acinetobacter_Species,MS-UMG,4,100.0,100.0,75.0
Acinetobacter_Towneri,MS-UMG,1,100.0,100.0,100.0
Acinetobacter_Ursingii,DRIAMS,34,97.1,97.1,97.1
Acinetobacter_Ursingii,MARISMA,5,100.0,100.0,80.0
Acinetobacter_Ursingii,MS-UMG,26,26.9,19.2,11.5
Actinobacillus_Ureae,DRIAMS,2,100.0,100.0,100.0
Actinomyces_Funkei,DRIAMS,1,100.0,100.0,0.0
Actinomyces_Funkei,MS-UMG,1,0.0,0.0,0.0
Actinomyces_Meyeri,DRIAMS,8,87.5,87.5,75.0
Actinomyces_Neuii,DRIAMS,37,86.5,86.5,67.6
Actinomyces_Odontolyticus,DRIAMS,48,100.0,97.9,91.7
Actinomyces_Oris,DRIAMS,22,100.0,100.0,100.0
Actinomyces_Oris,MARISMA,1,100.0,100.0,100.0
Actinomyces_Species,MS-UMG,6,83.3,83.3,50.0
Actinomyces_Turicensis,DRIAMS,17,100.0,100.0,94.1
Actinotignum_Sanguinis,DRIAMS,23,100.0,100.0,78.3
Actinotignum_Schaalii,DRIAMS,41,100.0,95.1,90.2
Actinotignum_Schaalii,MARISMA,1,100.0,100.0,100.0
Actinotignum_Schaalii,MS-UMG,3,0.0,0.0,0.0
Advenella_Kashmirensis,MS-UMG,6,100.0,100.0,100.0
Aerococcus_Christensenii,DRIAMS,4,100.0,100.0,100.0
Aerococcus_Christensenii,MS-UMG,1,100.0,100.0,100.0
Aerococcus_Sanguinicola,DRIAMS,55,94.5,94.5,92.7
Aerococcus_Sanguinicola,MARISMA,34,100.0,100.0,97.1
Aerococcus_Sanguinicola,MS-UMG,18,77.8,66.7,50.0
Aerococcus_Species,MS-UMG,1,0.0,0.0,0.0
Aerococcus_Urinae,DRIAMS,95,95.8,94.7,86.3
Aerococcus_Urinae,MARISMA,144,97.2,97.2,93.8
Aerococcus_Urinae,MS-UMG,410,82.2,76.1,61.7
Aerococcus_Viridans,DRIAMS,7,100.0,100.0,100.0
Aerococcus_Viridans,MARISMA,9,100.0,100.0,77.8
Aerococcus_Viridans,MS-UMG,9,100.0,100.0,66.7
Aeromonas_Caviae,DRIAMS,7,100.0,100.0,100.0
Aeromonas_Caviae,MARISMA,4,100.0,100.0,75.0
Aeromonas_Encheleia,DRIAMS,2,100.0,100.0,100.0
Aeromonas_Hydrophila,DRIAMS,3,100.0,100.0,100.0
Aeromonas_Hydrophila,MS-UMG,34,100.0,100.0,100.0
Aeromonas_Hydrophila,RKI,36,100.0,100.0,100.0
Aeromonas_Ichthiosmia,DRIAMS,1,100.0,100.0,100.0
Aeromonas_Media,DRIAMS,1,100.0,100.0,100.0
Aeromonas_Salmonicida,DRIAMS,1,100.0,100.0,100.0
Aeromonas_Veronii,DRIAMS,4,100.0,100.0,100.0
Aeromonas_Veronii,MARISMA,15,100.0,100.0,100.0
Aeromonas_Veronii,RKI,4,100.0,100.0,100.0
Aggregatibacter_Actinomycetemcomitans,DRIAMS,3,100.0,100.0,100.0
Aggregatibacter_Aphrophilus,DRIAMS,36,100.0,100.0,100.0
Aggregatibacter_Aphrophilus,MARISMA,2,100.0,100.0,100.0
Aggregatibacter_Aphrophilus,MS-UMG,4,100.0,100.0,100.0
