species,source,n,P99,P99.5,P99.9
Abiotrophia_Defectiva,DRIAMS,9,100.0,100.0,100.0
Achromobacter_Denitrificans,MS-UMG,2,100.0,100.0,100.0
Achromobacter_Insolitus,DRIAMS,18,100.0,100.0,100.0
Achromobacter_Insolitus,MARISMA,2,100.0,100.0,100.0
Achromobacter_Insolitus,MS-UMG,4,75.0,75.0,75.0
Achromobacter_Mucicolens,MARISMA,1,100.0,100.0,100.0
Achromobacter_Piechaudii,MS-UMG,3,100.0,100.0,100.0
Achromobacter_Spanius,DRIAMS,3,100.0,100.0,100.0
Achromobacter_Spanius,MS-UMG,1,100.0,100.0,100.0
Achromobacter_Species,MS-UMG,1,100.0,100.0,100.0
Achromobacter_Xylosoxidans,DRIAMS,122,99.2,99.2,99.2
Achromobacter_Xylosoxidans,MARISMA,35,100.0,100.0,100.0
Achromobacter_Xylosoxidans,MS-UMG,34,97.1,97.1,97.1
Achromobacter_Xylosoxidans,RKI,14,100.0,100.0,100.0
Acidovorax_Temperans,DRIAMS,5,100.0,100.0,100.0
Acidovorax_Temperans,MS-UMG,3,100.0,100.0,100.0
Acinetobacter_Baumannii,DRIAMS,58,100.0,100.0,100.0
Acinetobacter_Baumannii,MARISMA,31,100.0,100.0,100.0
Acinetobacter_Baumannii,MS-UMG,306,97.7,97.7,97.7
Acinetobacter_Baumannii,RKI,40,100.0,100.0,100.0
Acinetobacter_Baylyi,MS-UMG,2,100.0,100.0,100.0
Acinetobacter_Bereziniae,DRIAMS,1,100.0,100.0,100.0
Acinetobacter_Bereziniae,MARISMA,4,100.0,100.0,100.0
Acinetobacter_Bereziniae,MS-UMG,25,88.0,88.0,88.0
Acinetobacter_Calcoaceticus,DRIAMS,6,100.0,100.0,100.0
Acinetobacter_Dispersus,MS-UMG,2,100.0,100.0,100.0
Acinetobacter_Guillouiae,DRIAMS,1,100.0,100.0,100.0
Acinetobacter_Haemolyticus,DRIAMS,4,100.0,100.0,100.0
Acinetobacter_Haemolyticus,MARISMA,2,100.0,100.0,100.0
Acinetobacter_Haemolyticus,MS-UMG,1,100.0,100.0,100.0
Acinetobacter_Johnsonii,DRIAMS,13,100.0,100.0,100.0
Acinetobacter_Johnsonii,MS-UMG,27,100.0,100.0,100.0
Acinetobacter_Junii,DRIAMS,28,100.0,100.0,100.0
Acinetobacter_Junii,MS-UMG,10,90.0,90.0,90.0
Acinetobacter_Lwoffii,DRIAMS,6,100.0,100.0,100.0
Acinetobacter_Lwoffii,MS-UMG,12,100.0,100.0,100.0
Acinetobacter_Lwoffii,RKI,8,100.0,100.0,100.0
Acinetobacter_Nosocomialis,DRIAMS,4,100.0,100.0,100.0
Acinetobacter_Nosocomialis,MARISMA,2,100.0,100.0,100.0
Acinetobacter_Parvus,DRIAMS,4,100.0,100.0,100.0
Acinetobacter_Parvus,MS-UMG,1,100.0,100.0,100.0
Acinetobacter_Pittii,DRIAMS,74,100.0,100.0,100.0
Acinetobacter_Pittii,MARISMA,3,100.0,100.0,100.0
Acinetobacter_Pittii,RKI,8,100.0,100.0,100.0
Acinetobacter_Proteolyticus,MS-UMG,10,90.0,90.0,90.0
Acinetobacter_Radioresistens,DRIAMS,1,100.0,100.0,100.0
Acinetobacter_Radioresistens,MS-UMG,14,78.6,78.6,78.6
Acinetobacter_Schindleri,MS-UMG,1,100.0,100.0,100.0
Acinetobacter_Sp,DRIAMS,50,100.0,100.0,100.0
Acinetobacter_Species,MS-UMG,4,100.0,100.0,100.0
Acinetobacter_Towneri,MS-UMG,1,100.0,100.0,100.0
Acinetobacter_Ursingii,DRIAMS,34,100.0,100.0,100.0
Acinetobacter_Ursingii,MARISMA,5,100.0,100.0,100.0
Acinetobacter_Ursingii,MS-UMG,26,100.0,100.0,100.0
Actinobacillus_Ureae,DRIAMS,2,100.0,100.0,100.0
Actinomyces_Funkei,DRIAMS,1,100.0,100.0,100.0
Actinomyces_Funkei,MS-UMG,1,100.0,100.0,100.0
Actinomyces_Meyeri,DRIAMS,8,100.0,100.0,100.0
Actinomyces_Neuii,DRIAMS,37,100.0,100.0,100.0
Actinomyces_Odontolyticus,DRIAMS,48,100.0,100.0,100.0
Actinomyces_Oris,DRIAMS,22,100.0,100.0,100.0
Actinomyces_Oris,MARISMA,1,100.0,100.0,100.0
Actinomyces_Species,MS-UMG,6,83.3,83.3,83.3
Actinomyces_Turicensis,DRIAMS,17,100.0,100.0,100.0
Actinotignum_Sanguinis,DRIAMS,23,100.0,100.0,100.0
Actinotignum_Schaalii,DRIAMS,41,100.0,100.0,100.0
Actinotignum_Schaalii,MARISMA,1,100.0,100.0,100.0
Actinotignum_Schaalii,MS-UMG,3,100.0,100.0,100.0
Advenella_Kashmirensis,MS-UMG,6,50.0,50.0,50.0
Aerococcus_Christensenii,DRIAMS,4,100.0,100.0,100.0
Aerococcus_Christensenii,MS-UMG,1,0.0,0.0,0.0
Aerococcus_Sanguinicola,DRIAMS,55,100.0,100.0,100.0
Aerococcus_Sanguinicola,MARISMA,34,100.0,100.0,100.0
Aerococcus_Sanguinicola,MS-UMG,18,72.2,72.2,72.2
Aerococcus_Species,MS-UMG,1,100.0,100.0,100.0
Aerococcus_Urinae,DRIAMS,95,100.0,100.0,100.0
Aerococcus_Urinae,MARISMA,144,100.0,100.0,100.0
Aerococcus_Urinae,MS-UMG,410,65.4,65.4,65.4
Aerococcus_Viridans,DRIAMS,7,100.0,100.0,100.0
Aerococcus_Viridans,MARISMA,9,100.0,100.0,100.0
Aerococcus_Viridans,MS-UMG,9,55.6,55.6,55.6
Aeromonas_Caviae,DRIAMS,7,100.0,100.0,100.0
Aeromonas_Caviae,MARISMA,4,100.0,100.0,100.0
Aeromonas_Encheleia,DRIAMS,2,100.0,100.0,100.0
Aeromonas_Hydrophila,DRIAMS,3,100.0,100.0,100.0
Aeromonas_Hydrophila,MS-UMG,34,100.0,100.0,100.0
Aeromonas_Hydrophila,RKI,36,100.0,100.0,100.0
Aeromonas_Ichthiosmia,DRIAMS,1,100.0,100.0,100.0
Aeromonas_Media,DRIAMS,1,100.0,100.0,100.0
Aeromonas_Salmonicida,DRIAMS,1,100.0,100.0,100.0
Aeromonas_Veronii,DRIAMS,4,100.0,100.0,100.0
Aeromonas_Veronii,MARISMA,15,100.0,100.0,100.0
Aeromonas_Veronii,RKI,4,100.0,100.0,100.0
Aggregatibacter_Actinomycetemcomitans,DRIAMS,3,100.0,100.0,100.0
Aggregatibacter_Aphrophilus,DRIAMS,36,100.0,100.0,100.0
Aggregatibacter_Aphrophilus,MARISMA,2,100.0,100.0,100.0
Aggregatibacter_Aphrophilus,MS-UMG,4,100.0,100.0,100.0
