train,test,space,balanced_accuracy,f1_macro,recall_macro,specificity_macro,roc_auc,cm
A,A,latent,0.9966839879075936,0.9966523724867599,0.9966839879075936,0.9994880429967307,0.9999830578411549,"[[294   0   0   2   0   0]
 [  0 239   1   0   0   0]
 [  1   0 996   0   0   1]
 [  3   0   1 570   0   0]
 [  0   0   0   0 655   0]
 [  0   0   0   0   0 760]]"
A,B,latent,1.0,1.0,1.0,1.0,1.0,"[[19  0  0  0  0  0]
 [ 0  9  0  0  0  0]
 [ 0  0 43  0  0  0]
 [ 0  0  0 31  0  0]
 [ 0  0  0  0 28  0]
 [ 0  0  0  0  0 70]]"
A,C,latent,0.9876884175381745,0.9885924064862929,0.9876884175381745,0.997401469750402,0.9999462645272464,"[[ 39   0   0   0   0   0]
 [  0  19   0   0   0   0]
 [  0   0 185   0   1   0]
 [  1   0   4  68   0   0]
 [  0   0   0   0  71   0]
 [  0   0   0   0   0 148]]"
A,MARISMA,latent,0.8568068114318003,0.646298580959934,0.8568068114318003,0.9475568669088524,0.9769871583927726,"[[  12    0    8    0    0    0]
 [   0  179    0    0    1    1]
 [   8    0  307    0    1    1]
 [ 429   15  479 1862  269  120]
 [   0    0    0    0  311    1]
 [   0    0    0    0    0  469]]"
A,RKI,latent,0.7239331723027375,0.48437761069340013,0.7239331723027375,0.9294730037209255,0.9208926084977941,"[[ 1  0  2  4  2  0]
 [10 23 18  9 12  0]
 [ 0  0 12  0  0  0]
 [ 0  0  0  2  0  0]
 [ 0  0  0  0 12  0]
 [ 0  0  0  4  0 42]]"
A,D (OOD),latent,0.8801176204325795,0.7683686466079204,0.8801176204325795,0.970703950279447,0.9901314802750855,"[[ 437    0    0    0    0    0]
 [   0  169    0    0    0    2]
 [ 170  112 1340   15  246  115]
 [ 405    2   15 1728    1    0]
 [   7   19    3    0  282   33]
 [   1    1    0    0    1 2165]]"
A,MSUMG (OOD),latent,0.6154444717893378,0.6063336788339698,0.6154444717893378,0.9350426912114336,0.9647867082511871,"[[1398    0   43    0  169    0]
 [   6  528  261    0 1296   24]
 [ 137    0 9047    1 1856    0]
 [ 226    0  185  757 1994    7]
 [   2    0  163    0 3478    4]
 [  76    0  110    0 2747 3775]]"
B,A,latent,0.9725714667549443,0.9711609263770722,0.9725714667549443,0.9946805232923186,0.9993874620743064,"[[292   0   0   2   0   2]
 [  0 233   1   0   0   6]
 [  4   3 990   1   0   0]
 [  4   0   4 562   2   2]
 [ 10   0   0  26 601  18]
 [  0   0   0   1   7 752]]"
B,B,latent,0.9961240310077519,0.9968571825893479,0.9961240310077519,0.9987179487179487,0.999913994562195,"[[19  0  0  0  0  0]
 [ 0  9  0  0  0  0]
 [ 0  0 42  0  0  1]
 [ 0  0  0 31  0  0]
 [ 0  0  0  0 28  0]
 [ 0  0  0  0  0 70]]"
B,C,latent,0.9785851743935865,0.9810054945360541,0.9785851743935865,0.995872021872057,0.9994791253520496,"[[ 38   0   0   0   0   1]
 [  0  19   0   0   0   0]
 [  0   0 186   0   0   0]
 [  0   0   4  68   1   0]
 [  0   0   0   1  70   0]
 [  0   0   0   0   3 145]]"
