train,test,space,balanced_accuracy,f1_macro,recall_macro,specificity_macro,roc_auc,cm
A,A,latent,0.5102490928115007,0.5193240746357758,0.5102490928115007,0.9188937077326695,0.9252236818814358,"[[  0   0 207  64  23   2]
 [  0  63  82   9  25  61]
 [  0   1 901  65  29   2]
 [  0   0 296 246  32   0]
 [  0   0 130  35 489   1]
 [  0   1 186   8  17 548]]"
A,B,latent,0.41725877898045943,0.3623546319300117,0.41725877898045943,0.9077737186718192,0.8873168230765525,"[[ 0  0 16  0  3  0]
 [ 0  0  5  0  3  1]
 [ 0  0 37  2  4  0]
 [ 0  0 28  2  1  0]
 [ 0  0  3  0 25  0]
 [ 0  0 19  2  1 48]]"
A,C,latent,0.5304069587784763,0.5401518436262244,0.5304069587784763,0.9262514232079163,0.8830193902646807,"[[  0   0  31   4   3   1]
 [  0   6   2   6   1   4]
 [  0   0 159   9  16   2]
 [  0   0  30  34   7   2]
 [  0   0  13   1  57   0]
 [  0   0  27  10   1 110]]"
A,MARISMA,latent,0.4693937828248404,0.3177976655770461,0.4693937828248404,0.8674824301352064,0.7938976512080104,"[[   0    0   12    2    4    2]
 [   0   52    6    4    7  112]
 [   0    2  215   23   57   20]
 [   0   40 2334  286  263  251]
 [   0    3    9    1  244   55]
 [   0    0    6    3    1  459]]"
A,RKI,latent,0.33383655394524964,0.22772350468950384,0.33383655394524964,0.8468725476936573,0.8140489982427036,"[[ 0  0  6  0  3  0]
 [ 0  7 19  6  3 37]
 [ 0  0 12  0  0  0]
 [ 0  0  1  0  1  0]
 [ 0  0  4  0  8  0]
 [ 0  6 10 19  0 11]]"
A,D (OOD),latent,0.531838456505661,0.45180901670521184,0.531838456505661,0.9149774375177707,0.8397358933889377,"[[   0    0  100  250   85    2]
 [   0   98   21   38    4   10]
 [   0   45  755  731  422   45]
 [   0    1   89 2009   44    8]
 [   0    4   27   54  240   19]
 [   0  196  229  384   40 1319]]"
A,MSUMG (OOD),latent,0.2321504881416261,0.09136058015757693,0.2321504881416261,0.8407451958307696,0.5815562784123386,"[[   0  280   42    0 1287    1]
 [   0  933  245    0  937    0]
 [   0 2601  409    0 8030    1]
 [   0 1048  180    0 1939    2]
 [   0  149  162    0 3336    0]
 [   0 2431  107    0 4170    0]]"
B,A,latent,0.16939497002440604,0.06768322813186793,0.16939497002440604,0.8342858080347783,0.593299634710848,"[[  0   0   2   2   0 292]
 [  0   0   1   2   0 237]
 [  0   0  19   7   0 972]
 [  0   0   5   3   0 566]
 [  0   0  22  27   0 606]
 [  0   0   1   5   0 754]]"
B,B,latent,0.1744186046511628,0.10253411306042885,0.1744186046511628,0.8364891518737672,0.6998321234675818,"[[ 0  0  0  0  0 19]
 [ 0  0  0  0  0  9]
 [ 0  0  2  1  0 40]
 [ 0  0  0  0  0 31]
 [ 0  0  0  1  0 27]
 [ 0  0  0  0  0 70]]"
B,C,latent,0.16845878136200718,0.07769423558897244,0.16845878136200718,0.8351428963738865,0.6087251224359731,"[[  0   0   1   1   0  37]
 [  0   0   0   0   0  19]
 [  0   0   2   7   0 177]
 [  0   0   1   0   0  72]
 [  0   0   0   7   0  64]
 [  0   0   0   0   0 148]]"
B,MARISMA,latent,0.20558875417460723,0.1301479429373586,0.20558875417460723,0.8431093139362794,0.5497094301566687,"[[   0    0    0    7    0   13]
 [   0    0    0   97    0   84]
 [   0    0    1   85    0  231]
 [   0    1    9 1320    0 1844]
 [   0    0    0  204    0  108]
 [   0    0    0   87    0  382]]"
B,RKI,latent,0.16616344605475042,0.12412072532554459,0.16616344605475042,0.8331647095200386,0.6803792639242284,"[[ 0  0  2  1  0  6]
 [ 0  5  0  6  0 61]
 [ 0  0  2  0  0 10]
 [ 0  0  0  0  0  2]
 [ 0  0  2  5  0  5]
 [ 0  6  2  3  0 35]]"
B,D (OOD),latent,0.16899892302509037,0.0828160586758827,0.16899892302509037,0.8343549543659661,0.569828355320271,"[[   0    0    1   16    0  420]
 [   0    0    0    6    0  165]
 [   0    1    1   78    0 1918]
 [   0    0    2   32    0 2117]
 [   0    0    3   52    0  289]
 [   0    1    0    2    0 2165]]"
B,MSUMG (OOD),latent,0.1680270230067947,0.05387018216271378,0.1680270230067947,0.833334773005138,0.548604499685735,"[[    0     0     0    56  1539    15]
 [    0     0     0   247  1855    13]
 [    0     0     0   513 10414   114]
 [    0     0     0   209  2927    33]
 [    0     0     0   203  3427    17]
 [    0     0     0   108  6583    17]]"
C,A,latent,0.21631157330508524,0.163995338887975,0.21631157330508524,0.8494874142362162,0.7083724584131496,"[[  0   0 231   0  39  26]
 [  0   1  94   0  78  67]
 [  0   1 898   0  31  68]
 [  0   3 427   0  45  99]
 [  0  10 409   0 152  84]
 [  0   1 531   0 105 123]]"
C,B,latent,0.22524916943521597,0.17547591297591295,0.22524916943521597,0.8553107991598586,0.6646586971425723,"[[ 0  0 16  0  2  1]
 [ 0  0  5  0  0  4]
 [ 0  0 36  0  2  5]
 [ 0  0 29  0  0  2]
 [ 0  0 22  0  4  2]
 [ 0  0 41  0  3 26]]"
C,C,latent,0.2891966071143,0.25363674125214847,0.2891966071143,0.8805616461102597,0.762028036957576,"[[  0   1  27   0   1  10]
 [  0   1   2   0   4  12]
 [  0   0 146   0   5  35]
 [  0   0  37   0   8  28]
 [  0   0  48   0  10  13]
 [  0   1  29   0   6 112]]"
C,MARISMA,latent,0.2289066831071633,0.10654731271357858,0.2289066831071633,0.8382671171120215,0.5804508461569711,"[[   0    3    2    0    0   15]
 [   0   28    9    0   12  132]
 [   0   35  105    0    3  174]
 [   0  201  653    1   15 2304]
 [   0   55   86    0   30  141]
 [   0   21   65    0   12  371]]"
C,RKI,latent,0.28462157809983896,0.17740876254808144,0.28462157809983896,0.8524888977265195,0.7368500864401951,"[[ 0  0  5  0  4  0]
 [ 0  4 14  0  1 53]
 [ 0  0 10  0  0  2]
 [ 0  0  2  0  0  0]
 [ 0  0  9  0  2  1]
 [ 0  0 16  0  0 30]]"
C,D (OOD),latent,0.232320965030786,0.17749877193222552,0.232320965030786,0.854237283186531,0.7419332851127689,"[[   0    6  172    0   39  220]
 [   0    6    7    0   12  146]
 [   0   55  626    0   94 1223]
 [   0    6  525    0   53 1567]
 [   0    5   99    0   42  198]
 [   0   86   51    0   29 2002]]"
C,MSUMG (OOD),latent,0.15355892971152496,0.03256519896022127,0.15355892971152496,0.8319162944097572,0.554716373055934,"[[    0  1565    42     0     0     3]
 [    0  1870   245     0     0     0]
 [    0 10613   409     2     0    17]
 [    0  2984   180     0     0     5]
 [    0  3479   162     0     0     6]
 [    0  6600   107     0     0     1]]"
MARISMA,A,latent,0.37300811921471516,0.3292362659490975,0.37300811921471516,0.8752284240774625,0.8384907699023613,"[[  0   2  17 277   0   0]
 [  0  85   3  99   1  52]
 [  0   9  46 938   0   5]
 [  0   0  17 557   0   0]
 [  0  11  39 498  95  12]
 [  0   0   9 202   0 549]]"
MARISMA,B,latent,0.3423280423280423,0.2838578748015779,0.3423280423280423,0.8930445106094297,0.8617795443206143,"[[ 0  0  0 19  0  0]
 [ 0  1  0  7  0  1]
 [ 0  0  0 43  0  0]
 [ 0  0  0 31  0  0]
 [ 0  0  0 24  4  0]
 [ 0  0  2 12  0 56]]"
MARISMA,C,latent,0.30914346198797754,0.257390246508368,0.30914346198797754,0.8602948120596715,0.7970721569518457,"[[  0   1   0  38   0   0]
 [  0   6   3  10   0   0]
 [  0   1   9 172   0   4]
 [  0   0   1  71   0   1]
 [  0   1   2  58   8   2]
 [  0   1  10  77   0  60]]"
MARISMA,MARISMA,latent,0.539915802495622,0.5877268320441481,0.539915802495622,0.9332225164835144,0.954337793033325,"[[   0    0    1   19    0    0]
 [   0  113    0   59    0    9]
 [   0    3   34  275    3    2]
 [   0   10    2 3158    2    2]
 [   0    0    8  122  182    0]
 [   0    0    1   32    0  436]]"
MARISMA,RKI,latent,0.21457326892109505,0.09013728057913865,0.21457326892109505,0.8432671081677704,0.6102629272332457,"[[ 0  0  0  9  0  0]
 [ 0  4  0 68  0  0]
 [ 0  0  0 12  0  0]
 [ 0  0  0  2  0  0]
 [ 0  0  0 10  2  0]
 [ 0  0  0 43  0  3]]"
MARISMA,D (OOD),latent,0.43384339691144813,0.4427569121535944,0.43384339691144813,0.8957308751578387,0.759652437077874,"[[   0    0   64  367    4    2]
 [   0   87   10   67    0    7]
 [   0   37  461 1439   17   44]
 [   0    0  157 1993    0    1]
 [   0    5   87  137  104   11]
 [   0   17  522  253    0 1376]]"
MARISMA,MSUMG (OOD),latent,0.21867377954431952,0.08293362402048411,0.21867377954431952,0.8398309256446127,0.6104026748646794,"[[   8  622    7  973    0    0]
 [ 130 1205   61  719    0    0]
 [  66 4887  323 5765    0    0]
 [   7  909   21 2230    2    0]
 [  10 2166   32 1423   16    0]
 [ 821 3412  267 2208    0    0]]"
RKI,A,latent,0.22253109823250106,0.11460332645916498,0.22253109823250106,0.8435181131350546,0.5340109991783751,"[[ 10  75 211   0   0   0]
 [ 21 144  75   0   0   0]
 [  7 290 700   1   0   0]
 [ 20 220 334   0   0   0]
 [ 31 292 332   0   0   0]
 [ 36 306 418   0   0   0]]"
RKI,B,latent,0.19255179291899002,0.10132581857219537,0.19255179291899002,0.8345337307308306,0.5155725381451316,"[[ 3  8  8  0  0  0]
 [ 0  5  4  0  0  0]
 [ 1 23 19  0  0  0]
 [ 1 19 11  0  0  0]
 [ 1 14 13  0  0  0]
 [ 0 30 40  0  0  0]]"
RKI,C,latent,0.21810108397544728,0.09693274030432715,0.21810108397544728,0.844701335024979,0.6066024318444316,"[[  1  20  18   0   0   0]
 [  1  16   2   0   0   0]
 [  2 102  82   0   0   0]
 [  3  45  25   0   0   0]
 [  2  40  29   0   0   0]
 [  1 128  19   0   0   0]]"
RKI,MARISMA,latent,0.17770767613038907,0.029511411888647605,0.17770767613038907,0.834014178787586,0.47636344012271725,"[[   0   20    0    0    0    0]
 [   0  181    0    0    0    0]
 [   0  296   21    0    0    0]
 [   7 3083   76    0    0    8]
 [   1  296   14    0    0    1]
 [   0  464    5    0    0    0]]"
RKI,RKI,latent,0.3042471819645733,0.3088342888342889,0.3042471819645733,0.883238942528397,0.8372165257446116,"[[ 1  4  4  0  0  0]
 [ 0 65  0  0  0  7]
 [ 0  8  4  0  0  0]
 [ 0  2  0  0  0  0]
 [ 0 10  2  0  0  0]
 [ 0 24  0  0  0 22]]"
RKI,D (OOD),latent,0.19767955094288336,0.05078758162173471,0.19767955094288336,0.8329654078773804,0.6065204143631518,"[[   9  325  103    0    0    0]
 [   0  168    3    0    0    0]
 [  21 1613  362    0    0    2]
 [  21 1291  839    0    0    0]
 [   9  298   37    0    0    0]
 [  13 2024  127    0    0    4]]"
RKI,MSUMG (OOD),latent,0.15684741643831035,0.035426107894034047,0.15684741643831035,0.8326333205716573,0.5690939092694208,"[[    0  1566     0    42     0     2]
 [    0  1869     0   245     0     1]
 [    0 10615     0   409     0    17]
 [    0  2980     0   180     0     9]
 [    0  3479     0   162     0     6]
 [    0  6597     0   107     0     4]]"
ALL,A,latent,0.7747794259681928,0.7700641890341317,0.7747794259681928,0.9694100010366444,0.9742197580127243,"[[ 29   3 163  98   0   3]
 [  0 195   4   1   2  38]
 [  5   6 916  59   8   4]
 [ 16   1  36 518   0   3]
 [  1   3   9  31 609   2]
 [  2   1   3   3   0 751]]"
ALL,B,latent,0.7321274763135227,0.7138579410164271,0.7321274763135227,0.9684941919627951,0.9828123347940636,"[[ 0  0  9  8  1  1]
 [ 0  5  1  0  0  3]
 [ 0  0 36  7  0  0]
 [ 0  0  0 31  0  0]
 [ 0  0  0  0 28  0]
 [ 0  0  0  0  0 70]]"
ALL,C,latent,0.7345908191007685,0.7068051797284204,0.7345908191007685,0.9600384235596243,0.9542799071313945,"[[  1   1  19  17   0   1]
 [  1  15   0   1   0   2]
 [  1   1 137  39   2   6]
 [  3   0   5  64   1   0]
 [  0   0   0   0  70   1]
 [  0   1   0   0   0 147]]"
ALL,MARISMA,latent,0.6980121745776259,0.7145497631552247,0.6980121745776259,0.967809329113325,0.9630240738011752,"[[   0    0    0   20    0    0]
 [   0  168    0    3    0   10]
 [   0    3  101  198   11    4]
 [   0   10    6 3147    4    7]
 [   0    1    1   10  297    3]
 [   0    0    0    1    0  468]]"
ALL,RKI,latent,0.7004830917874396,0.5865651116047815,0.7004830917874396,0.9558487380448191,0.9698612196972424,"[[ 0  0  3  5  0  1]
 [ 0 60  0  8  0  4]
 [ 0  0 10  1  0  1]
 [ 0  0  0  2  0  0]
 [ 0  0  0  4  8  0]
 [ 0  5  0  1  0 40]]"
ALL,D (OOD),latent,0.654098239663498,0.6101848036954147,0.654098239663498,0.9409341134837469,0.9138883615308133,"[[  16    1   76  332    9    3]
 [   0  140   11   12    0    8]
 [  62  124  729  866   47  170]
 [  14    1   12 2118    2    4]
 [   2   14   27   14  256   31]
 [   3    9   34    6    1 2115]]"
ALL,MSUMG (OOD),latent,0.3052450109422659,0.1553142075560864,0.3052450109422659,0.8504261141967091,0.7206658643004538,"[[   0  483   42   76 1009    0]
 [   0 1404  245  162  304    0]
 [   0 4086  409  536 6010    0]
 [   0 1582  180  648  759    0]
 [   0  100  162    8 3377    0]
 [   0 4549  107  200 1851    1]]"
