train,test,space,balanced_accuracy,f1_macro,recall_macro,specificity_macro,roc_auc,cm
A,A,latent,0.5651825439372975,0.5206039490287772,0.5651825439372975,0.9426303673200103,0.9503464769489306,"[[  0   0 125 111  39  21]
 [  0   3  21   1 191  24]
 [  0   0 884  65  46   3]
 [  0   0 172 326  55  21]
 [  0   0   2  19 617  17]
 [  0   0   0   5   8 747]]"
A,B,latent,0.5066212981816883,0.4533775603690858,0.5066212981816883,0.9354389312475294,0.9571947518553107,"[[ 0  0 15  2  0  2]
 [ 0  0  2  0  4  3]
 [ 0  0 37  2  2  2]
 [ 0  0 21  6  2  2]
 [ 0  0  0  0 28  0]
 [ 0  0  0  1  0 69]]"
A,C,latent,0.5646427594934812,0.5202358128804033,0.5646427594934812,0.9512729137102064,0.941457630496708,"[[  0   0  12  14   5   8]
 [  0   0   0   4  15   0]
 [  0   1 154  14  15   2]
 [  0   0  17  47   6   3]
 [  0   0   0   1  66   4]
 [  0   0   0   1   1 146]]"
A,MARISMA,latent,0.45101388386469904,0.25928595086816064,0.45101388386469904,0.8777236058885238,0.8420353589346742,"[[   0    0    5    2    9    4]
 [   0    3    2    1  145   30]
 [   0    4  195   15   63   40]
 [   0    2 1649  548  316  659]
 [   0    0    0    1  282   29]
 [   0    0    0    1    0  468]]"
A,RKI,latent,0.42985104669887275,0.24151967206218616,0.42985104669887275,0.8711385662934231,0.8650808085432625,"[[ 0  0  5  1  2  1]
 [ 0  1  8  2 37 24]
 [ 0  0 12  0  0  0]
 [ 0  0  1  0  1  0]
 [ 0  0  0  0 12  0]
 [ 0  0  9 11  0 26]]"
A,D (OOD),latent,0.5275444957955245,0.4637521851618105,0.5275444957955245,0.9344587849616738,0.8955761713593624,"[[   0    0   20  343   51   23]
 [   0   21    1   11  126   12]
 [   0   77  664  757  354  146]
 [   0    1   40 2039   48   23]
 [   0    0    3   41  276   24]
 [   0    0    4   78    5 2081]]"
A,MSUMG (OOD),latent,0.16214102736070654,0.04339111039685733,0.16214102736070654,0.8319924385294755,0.5600406253284275,"[[    0     0     0     0  1558    52]
 [    0     0     0     0  1869   246]
 [    0     0     2     0 10578   461]
 [    0     0     0     0  2963   206]
 [    0     0     0     0  3475   172]
 [    0     0     0     0  6575   133]]"
B,A,latent,0.24440169537681636,0.17011185864424205,0.24440169537681636,0.8610095211475545,0.687474717049045,"[[  0   0   4   0   0 292]
 [  0   0   0   0   0 240]
 [  0   0 462   0   0 536]
 [  0   0  49   2   0 523]
 [  0   0   2   0   0 653]
 [  0   0   0   0   0 760]]"
B,B,latent,0.19767441860465115,0.1394728061394728,0.19767441860465115,0.8442511840601012,0.751178029628852,"[[ 0  0  1  0  0 18]
 [ 0  0  0  0  0  9]
 [ 0  0  8  0  0 35]
 [ 0  0  2  0  0 29]
 [ 0  0  0  0  0 28]
 [ 0  0  0  0  0 70]]"
B,C,latent,0.1971326164874552,0.12729643238117816,0.1971326164874552,0.8478915071183112,0.687866241332932,"[[  0   0   0   0   0  39]
 [  0   0   0   0   0  19]
 [  0   0  34   0   0 152]
 [  0   0   1   0   0  72]
 [  0   0   0   0   0  71]
 [  0   0   0   0   0 148]]"
