train,test,space,balanced_accuracy,f1_macro,recall_macro,specificity_macro,roc_auc,cm
A,A,latent,0.4132028479048668,0.3753637781912174,0.4132028479048668,0.9008275497332776,0.8940610690205855,"[[  0   0 159 114   1  22]
 [  0  11   1  12  62 154]
 [  0   0 663 163  13 159]
 [  0   1 178 334  10  51]
 [  0   2   3  61 170 419]
 [  0   0   3  28  24 705]]"
A,B,latent,0.35279454784331005,0.35529619488826497,0.35279454784331005,0.8837206526785278,0.8322493040180973,"[[ 0  0 13  1  1  4]
 [ 0  2  0  0  0  7]
 [ 0  0 24  2  4 13]
 [ 0  0 15  6  1  9]
 [ 0  0  0  0  8 20]
 [ 0  0  1  3  6 60]]"
A,C,latent,0.3750651054275988,0.3675929915651897,0.3750651054275988,0.8845461470403381,0.8205103114216387,"[[ 0  0 17  8  4 10]
 [ 0  4  0  4  5  6]
 [ 0  0 77 26 25 58]
 [ 0  0 13 40 10 10]
 [ 0  0  0  4 30 37]
 [ 0  0  0 15 36 97]]"
A,MARISMA,latent,0.28272607322451027,0.14975115565220753,0.28272607322451027,0.848806424689259,0.7224459243468596,"[[   0    1    0    5   13    1]
 [   0    2    0    3  151   25]
 [   0    0   46   35  176   60]
 [   0   24  173  214 2158  605]
 [   0    2    0    4  228   78]
 [   0    0    0    3  118  348]]"
A,RKI,latent,0.21658615136876005,0.18105832873690017,0.21658615136876005,0.8501598747865762,0.8013450538764318,"[[ 0  0  5  2  0  2]
 [ 0  2  0  0 59 11]
 [ 0  0  6  0  0  6]
 [ 0  0  2  0  0  0]
 [ 0  0  0  0  3  9]
 [ 0  0  0  0 22 24]]"
A,D (OOD),latent,0.3861683058547804,0.27482306391240324,0.3861683058547804,0.8747189584274823,0.7894796234290232,"[[   0    3   23  313   54   44]
 [   0   79    1   13   60   18]
 [   0   91  102  980  572  253]
 [   0    2   29 1999   90   31]
 [   0    6    0   73  219   46]
 [   0   66    0  600  986  516]]"
A,MSUMG (OOD),latent,0.21116003974404332,0.09834800183538046,0.21116003974404332,0.8395845526106912,0.5545547168016112,"[[ 888  154    0   42  526    0]
 [ 875  207    0  245  788    0]
 [5714 1084    0  409 3834    0]
 [1504  756    0  180  729    0]
 [1377   63    0  162 2045    0]
 [4667  567    0  107 1367    0]]"
B,A,latent,0.16678136975705796,0.05979196467628344,0.16678136975705796,0.8333917731211322,0.5971772526927775,"[[  0   0   0   0   0 296]
 [  0   0   0   0   0 240]
 [  0   0   2   1   0 995]
 [  0   0   0   0   0 574]
 [  0   0   0   0   0 655]
 [  0   0   1   0   0 759]]"
B,B,latent,0.16666666666666666,0.08641975308641975,0.16666666666666666,0.8333333333333334,0.5420337390593977,"[[ 0  0  0  0  0 19]
 [ 0  0  0  0  0  9]
 [ 0  0  0  0  0 43]
 [ 0  0  0  0  0 31]
 [ 0  0  0  0  0 28]
 [ 0  0  0  0  0 70]]"
B,C,latent,0.16666666666666666,0.07212475633528265,0.16666666666666666,0.8333333333333334,0.5967818147867462,"[[  0   0   0   0   0  39]
 [  0   0   0   0   0  19]
 [  0   0   0   0   0 186]
 [  0   0   0   0   0  73]
 [  0   0   0   0   0  71]
 [  0   0   0   0   0 148]]"
B,MARISMA,latent,0.16666666666666666,0.03164642375168691,0.16666666666666666,0.8333364744684139,0.5800784321692978,"[[   0    0    0    0    0   20]
 [   0    0    0    0    0  181]
 [   0    0    0    0    0  317]
 [   0    0    0    0    2 3172]
 [   0    0    0    0    0  312]
 [   0    0    0    0    0  469]]"
B,RKI,latent,0.09420289855072463,0.05009633911368016,0.09420289855072463,0.8119462672057621,0.6432776081161027,"[[ 0  0  0  0  0  9]
 [ 0  0  0  0  6 66]
 [ 0  0  0  0  0 12]
 [ 0  0  0  0  0  2]
 [ 0  0  0  0  0 12]
 [ 0  0  0  0 20 26]]"
B,D (OOD),latent,0.16651945611047703,0.07667933132526115,0.16651945611047703,0.8333024104426329,0.47601043512844826,"[[   0    0    0    0    0  437]
 [   0    0    0    0    0  171]
 [   0    0    1    0    1 1996]
 [   0    0    0    0    0 2151]
 [   0    0    0    0    0  344]
 [   0    0    0    0    3 2165]]"
B,MSUMG (OOD),latent,0.18087614704542831,0.12499762682026357,0.18087614704542831,0.8345694636198449,0.5127501097277801,"[[   0    0 1445  149    0   16]
 [   0    0 1802  264    0   49]
 [   0    0 9732 1196    0  113]
 [   0    0 2517  644    0    8]
 [   0    0 3137  425    0   85]
 [   0    0 6394  310    0    4]]"
C,A,latent,0.1723082129170622,0.10627712850057092,0.1723082129170622,0.8366633685456598,0.5158220148920473,"[[  0   0 239   0   0  57]
 [  0   0 137   0   0 103]
 [  0   0 844   0   1 153]
 [  0   0 384   0   0 190]
 [  0   0 446   0   0 209]
 [  0   0 617   0   0 143]]"
