train,test,space,balanced_accuracy,f1_macro,recall_macro,specificity_macro,roc_auc,cm
A,A,latent,0.8862313862758507,0.9015770905187334,0.8862313862758507,0.9815296690551919,0.9915302844273071,"[[198   1  41  53   2   1]
 [  1 222   3   3   9   2]
 [  4   2 941  43   7   1]
 [  1   2  98 467   6   0]
 [  1   2   1   9 642   0]
 [  0   0   0   4   6 750]]"
A,B,latent,0.7642479698872086,0.7685435167859653,0.7642479698872086,0.9609608613919273,0.9795387257410869,"[[ 7  0 10  1  0  1]
 [ 0  9  0  0  0  0]
 [ 0  0 42  1  0  0]
 [ 0  0 21  9  1  0]
 [ 1  0  0  0 27  0]
 [ 0  0  0  1  0 69]]"
A,C,latent,0.828983204548344,0.8460345480208105,0.828983204548344,0.9775444153970246,0.9741621914285609,"[[ 21   2   9   6   0   1]
 [  0  14   0   4   1   0]
 [  0   2 172  10   2   0]
 [  0   0  13  59   0   1]
 [  0   0   0   1  70   0]
 [  0   0   1   2   0 145]]"
A,MARISMA,latent,0.6941591560701225,0.5247751119656052,0.6941591560701225,0.9268425521300082,0.9072689888904826,"[[   3   10    0    3    4    0]
 [   0  175    0    2    4    0]
 [   2   40  214    2   48   11]
 [   0 1029  301 1509  203  132]
 [   0    8    0    0  304    0]
 [   1   32    1    2    0  433]]"
A,RKI,latent,0.5664251207729468,0.5050467082671787,0.5664251207729468,0.9532691042215418,0.8935676597227104,"[[ 0  0  6  3  0  0]
 [ 0 66  5  1  0  0]
 [ 0  0 11  0  0  1]
 [ 0  0  1  0  1  0]
 [ 0  0  0  0 12  0]
 [ 0  2 18  0  0 26]]"
A,D (OOD),latent,0.7825840622189258,0.7080464879849505,0.7825840622189258,0.9588408437388979,0.9380081034289574,"[[ 273   19   36   69   32    8]
 [   0  140    0    9   19    3]
 [  14  174  964  427  333   86]
 [   2    7   48 2050   33   11]
 [   1    7    5   16  292   23]
 [   0   49    5   11    5 2098]]"
A,MSUMG (OOD),latent,0.16747060076806453,0.055274584854517896,0.16747060076806453,0.8331344151166813,0.5719635553979394,"[[    0    22    42     0  1546     0]
 [    0    49   245     0  1821     0]
 [    0   238   409     0 10394     0]
 [    0    30   180     0  2959     0]
 [    0    40   162     0  3445     0]
 [    0   184   107     0  6417     0]]"
B,A,latent,0.19281276167035508,0.10975033114604826,0.19281276167035508,0.8425435766896471,0.5982509018525651,"[[  0   0   8   1   0 287]
 [  0   0   5   3   0 232]
 [  0   0 156   7   0 835]
 [  0   0  14   7   0 553]
 [  0   0   4  12   1 638]
 [  0   0   3   7   0 750]]"
B,B,latent,0.1875468867216804,0.12647828362114075,0.1875468867216804,0.8410721240216587,0.7385893348928533,"[[ 0  0  0  1  0 18]
 [ 0  0  0  0  0  9]
 [ 0  0  4  2  0 37]
 [ 0  0  2  1  0 28]
 [ 0  0  0  0  0 28]
 [ 0  0  0  0  0 70]]"
B,C,latent,0.18452959145623749,0.10816382285194236,0.18452959145623749,0.8401583714245423,0.6655212446459643,"[[  0   0   1   2   0  36]
 [  0   0   0   1   0  18]
 [  0   0  11   6   0 169]
 [  0   0   1   4   0  68]
 [  0   0   0   3   0  68]
 [  0   0   0   1   0 147]]"
B,MARISMA,latent,0.23747387150693622,0.18684857062615287,0.23747387150693622,0.8727350932182367,0.6485064394992291,"[[   0    0    0   10    0   10]
 [   0    0    0  125    0   56]
 [   0    0   10  132    0  175]
 [   0    0   17 2277    0  880]
 [   0    0    0  152    0  160]
 [   0    0    0  152    0  317]]"
B,RKI,latent,0.13647342995169082,0.04456309856767523,0.13647342995169082,0.8220353590089914,0.6459047515865368,"[[ 0  0  3  0  0  6]
 [ 0  0  7 47  0 18]
 [ 0  0  2  3  0  7]
 [ 0  0  0  1  0  1]
 [ 0  0  1  4  0  7]
 [ 0  0 20 19  0  7]]"
B,D (OOD),latent,0.16800337683164143,0.08818335956578814,0.16800337683164143,0.833738395340396,0.5797594737027983,"[[   0    0    1   21    0  415]
 [   0    0    0   12    0  159]
 [   0    0    7  227    0 1764]
 [   0    0    4   62    0 2085]
 [   0    0    0   27    1  316]
 [   0    0    3   56    0 2109]]"
B,MSUMG (OOD),latent,0.16054545911279383,0.038832563258766224,0.16054545911279383,0.8319180317635589,0.5628312687084404,"[[    0     0     0  1568     0    42]
 [    0     0     0  1870     0   245]
 [    0     0     0 10631     0   410]
 [    0     0     1  2986     0   182]
 [    0     0     0  3484     0   163]
 [    0     0     0  6567     0   141]]"
C,A,latent,0.4050780352616121,0.3379119307534557,0.4050780352616121,0.9029883672184562,0.8338889433312521,"[[  0   0 185   0  27  84]
 [  0   0  49   0  62 129]
 [  0   0 879   3   1 115]
 [  0   0 333   4  21 216]
 [  0   0   3   1 527 124]
 [  0   0 108   0  91 561]]"
