train,test,space,balanced_accuracy,f1_macro,recall_macro,specificity_macro,roc_auc,cm
A,A,latent,0.9977220687149693,0.9980550472312245,0.9977220687149693,0.9997041875569525,0.9999342501547485,"[[294   1   0   1   0   0]
 [  0 239   1   0   0   0]
 [  0   0 997   1   0   0]
 [  0   0   1 573   0   0]
 [  0   0   0   0 655   0]
 [  0   0   0   0   0 760]]"
A,B,latent,1.0,1.0,1.0,1.0,1.0,"[[19  0  0  0  0  0]
 [ 0  9  0  0  0  0]
 [ 0  0 43  0  0  0]
 [ 0  0  0 31  0  0]
 [ 0  0  0  0 28  0]
 [ 0  0  0  0  0 70]]"
A,C,latent,0.9772187942350977,0.981685639773875,0.9772187942350977,0.9975423148208246,0.9998037558125198,"[[ 37   0   2   0   0   0]
 [  0  18   0   0   1   0]
 [  1   0 185   0   0   0]
 [  1   0   1  71   0   0]
 [  0   0   0   0  71   0]
 [  0   0   0   0   0 148]]"
A,MARISMA,latent,0.9500260306157786,0.8706753079243583,0.9500260306157786,0.9842367103044185,0.9992300269615257,"[[  18    0    1    0    1    0]
 [   0  170    9    0    1    1]
 [   0    0  312    0    4    1]
 [  11    0  286 2803    1   73]
 [   0    1    1    0  310    0]
 [   0    0    0    0    0  469]]"
A,RKI,latent,0.8922101449275363,0.8019728459945852,0.8922101449275363,0.9621749408983451,0.9942940112671251,"[[ 7  0  2  0  0  0]
 [ 0 43 13  0 16  0]
 [ 0  0 12  0  0  0]
 [ 0  0  0  2  0  0]
 [ 0  0  0  0 12  0]
 [ 0  0  1  0  0 45]]"
A,D (OOD),latent,0.9249439720981986,0.8935120154406332,0.9249439720981986,0.984839397239702,0.993480200523272,"[[ 433    0    3    0    1    0]
 [   0  165    1    0    2    3]
 [  24    3 1565   43  254  109]
 [  34    0    6 2108    3    0]
 [   2    0   18    2  287   35]
 [   0    0    3    0    5 2160]]"
A,MSUMG (OOD),latent,0.5447018677660954,0.537202412221336,0.5447018677660954,0.9416756848233231,0.9625332709646477,"[[  135     0  1471     0     4     0]
 [    0   360   338     0  1329    88]
 [    1     1 10998     0    39     2]
 [    0     0  2537   373     9   250]
 [    1     3   167     0  3476     0]
 [    0    19   113     0   222  6354]]"
B,A,latent,0.8667913324073394,0.824590237952053,0.8667913324073394,0.9721468629640025,0.9930603019643413,"[[295   1   0   0   0   0]
 [  0 228  10   0   2   0]
 [ 74  25 897   0   2   0]
 [156   0   1 415   0   2]
 [ 19 101  10   0 434  91]
 [  0   2   0   3  18 737]]"
B,B,latent,0.9898671096345515,0.9738925343241891,0.9898671096345515,0.9973339889888443,0.9999506245988249,"[[19  0  0  0  0  0]
 [ 0  9  0  0  0  0]
 [ 1  1 41  0  0  0]
 [ 0  0  0 31  0  0]
 [ 0  0  0  0 28  0]
 [ 0  1  0  0  0 69]]"
B,C,latent,0.870845831636537,0.8254929242283991,0.870845831636537,0.9767289598262994,0.9936795944883828,"[[ 37   0   2   0   0   0]
 [  0  19   0   0   0   0]
 [ 14   2 168   0   1   1]
 [ 33   0   1  39   0   0]
 [  4   3   1   0  61   2]
 [  0   2   0   1   0 145]]"
