train,test,space,balanced_accuracy,f1_macro,recall_macro,specificity_macro,roc_auc,cm
A,A,latent,0.9919199257735598,0.9938686321416349,0.9919199257735598,0.9987525554459836,0.9998429312065654,"[[291   0   3   2   0   0]
 [  0 237   3   0   0   0]
 [  0   0 997   1   0   0]
 [  0   0   4 568   2   0]
 [  0   0   0   0 650   5]
 [  0   0   0   0   0 760]]"
A,B,latent,0.9888471177944863,0.9901905665063561,0.9888471177944863,0.9977489564698866,0.9998591581792341,"[[18  0  0  0  0  1]
 [ 0  9  0  0  0  0]
 [ 0  0 43  0  0  0]
 [ 0  0  0 31  0  0]
 [ 0  0  0  0 28  0]
 [ 0  0  0  0  1 69]]"
A,C,latent,0.9724225154109797,0.978797099938844,0.9724225154109797,0.9965654407544925,0.9993231113742129,"[[ 37   0   1   0   0   1]
 [  0  18   0   0   0   1]
 [  0   0 186   0   0   0]
 [  1   0   3  69   0   0]
 [  0   0   0   0  71   0]
 [  1   0   0   0   0 147]]"
A,MARISMA,latent,0.8347017203596448,0.5800875074305428,0.8347017203596448,0.9302920459044807,0.9791877390569624,"[[  15    0    3    0    2    0]
 [   0  156   12    0    0   13]
 [  10    0  306    0    0    1]
 [ 241    0  868 1480  361  224]
 [   0    0    1    0  301   10]
 [   0    0    0    0    0  469]]"
A,RKI,latent,0.6889090177133655,0.43145297831410706,0.6889090177133655,0.9111424540339564,0.9310048336981005,"[[ 1  0  3  5  0  0]
 [ 5 11 39  4  9  4]
 [ 0  0 12  0  0  0]
 [ 0  0  0  2  0  0]
 [ 0  0  0  0 12  0]
 [ 0  0  0  6  0 40]]"
A,D (OOD),latent,0.8681343898535262,0.8478040004808461,0.8681343898535262,0.9683263909217877,0.9776373177724839,"[[ 415    0   21    1    0    0]
 [   0  162    2    0    0    7]
 [  97    0 1493   10   28  370]
 [ 168    0  244 1707   31    1]
 [   3    0   14    0  266   61]
 [   3    0    1    0    1 2163]]"
A,MSUMG (OOD),latent,0.5225866136431135,0.5115133682624323,0.5225866136431135,0.9386267518089116,0.9464223763132171,"[[  298     0  1182    49    32    49]
 [    0     0  1225     0     1   889]
 [    0     0 10887     1   140    13]
 [    0     0   884   521   886   878]
 [    1     0   504    16  3067    59]
 [    0     0   227     0    48  6433]]"
B,A,latent,0.7784228580274832,0.8043390222166825,0.7784228580274832,0.9720405853363511,0.9895161077668847,"[[188   0  12  36   1  59]
 [  1  76  43   0   1 119]
 [  4   0 968   7   5  14]
 [  3   0  23 523  18   7]
 [  0   0  18  15 559  63]
 [  3   0   0   2   7 748]]"
B,B,latent,0.9414699069504219,0.9475945186012543,0.9414699069504219,0.9891069436291412,0.9981681518988837,"[[16  0  0  1  0  2]
 [ 0  9  0  0  0  0]
 [ 1  0 41  1  0  0]
 [ 0  0  3 28  0  0]
 [ 0  0  0  0 27  1]
 [ 0  0  0  0  1 69]]"
B,C,latent,0.7727373173879925,0.8052780007302746,0.7727373173879925,0.9803487914163291,0.994563273378366,"[[ 26   0   1   6   0   6]
 [  0   4   1   0   0  14]
 [  0   0 185   0   0   1]
 [  1   0   5  64   1   2]
 [  0   0   0   2  64   5]
 [  0   0   0   0   2 146]]"
B,MARISMA,latent,0.7130413458018171,0.49439199618474766,0.7130413458018171,0.9274580616193085,0.9751826944084238,"[[  15    0    1    0    4    0]
 [   0   49   24    0    0  108]
 [  10    0  274    0   10   23]
 [ 107    0  648 1604  196  619]
 [   0    0    0    1  277   34]
 [   0    0    0    0    0  469]]"
