train,test,space,balanced_accuracy,f1_macro,recall_macro,specificity_macro,roc_auc,cm
A,A,latent,0.9982948952594759,0.998061905520609,0.9982948952594759,0.9996525399998819,0.9999956606110437,"[[296   0   0   0   0   0]
 [  0 239   1   0   0   0]
 [  1   0 995   2   0   0]
 [  0   0   1 573   0   0]
 [  0   0   0   0 655   0]
 [  0   1   0   0   0 759]]"
A,B,latent,1.0,1.0,1.0,1.0,1.0,"[[19  0  0  0  0  0]
 [ 0  9  0  0  0  0]
 [ 0  0 43  0  0  0]
 [ 0  0  0 31  0  0]
 [ 0  0  0  0 28  0]
 [ 0  0  0  0  0 70]]"
A,C,latent,0.9957264957264957,0.9973886703109223,0.9957264957264957,0.9995238095238096,1.0,"[[ 38   0   1   0   0   0]
 [  0  19   0   0   0   0]
 [  0   0 186   0   0   0]
 [  0   0   0  73   0   0]
 [  0   0   0   0  71   0]
 [  0   0   0   0   0 148]]"
A,MARISMA,latent,0.9796715907835356,0.9514241113354346,0.9796715907835356,0.9989046399820408,0.9996912716746796,"[[  18    0    2    0    0    0]
 [   0  180    1    0    0    0]
 [   0    2  315    0    0    0]
 [  10    1    9 3152    0    2]
 [   0    0    1    0  311    0]
 [   0    0    0    0    0  469]]"
A,RKI,latent,1.0,1.0,1.0,1.0,1.0,"[[ 9  0  0  0  0  0]
 [ 0 72  0  0  0  0]
 [ 0  0 12  0  0  0]
 [ 0  0  0  2  0  0]
 [ 0  0  0  0 12  0]
 [ 0  0  0  0  0 46]]"
A,D (OOD),latent,0.9131428859873773,0.8318318966515181,0.9131428859873773,0.9835950564427057,0.9925499414049944,"[[ 434    0    2    1    0    0]
 [   0  169    1    0    0    1]
 [ 155  293 1451   11   24   64]
 [   5    1    4 2141    0    0]
 [   5   35    9    0  268   27]
 [   2    4    1    0    0 2161]]"
A,MSUMG (OOD),latent,0.7468728686624617,0.7706006025525728,0.7468728686624617,0.9692315035621853,0.9770175218672201,"[[   61     1  1547     0     1     0]
 [    0  1482   623     0    10     0]
 [    1     1 11034     2     2     1]
 [    0     1   489  2678     1     0]
 [    0     4   184     0  3459     0]
 [    0    36   299     0     2  6371]]"
B,A,latent,0.9948613339012483,0.9908931478846826,0.9948613339012483,0.9987952232367346,0.9999860678707558,"[[296   0   0   0   0   0]
 [  0 240   0   0   0   0]
 [  7   0 989   1   1   0]
 [  3   0   1 570   0   0]
 [  0   8   0   0 647   0]
 [  0   2   0   0   0 758]]"
B,B,latent,0.9961240310077519,0.9937657114127703,0.9961240310077519,0.9990791896869246,1.0,"[[19  0  0  0  0  0]
 [ 0  9  0  0  0  0]
 [ 1  0 42  0  0  0]
 [ 0  0  0 31  0  0]
 [ 0  0  0  0 28  0]
 [ 0  0  0  0  0 70]]"
B,C,latent,0.9982078853046595,0.9968468468468469,0.9982078853046595,0.9992800575953923,0.9999875776114289,"[[ 39   0   0   0   0   0]
 [  0  19   0   0   0   0]
 [  0   0 184   2   0   0]
 [  0   0   0  73   0   0]
 [  0   0   0   0  71   0]
 [  0   0   0   0   0 148]]"
