train,test,space,balanced_accuracy,f1_macro,recall_macro,specificity_macro,roc_auc,cm
A,A,latent,0.9153884838104706,0.9257143396453319,0.9153884838104706,0.9868237530657424,0.9946567933085196,"[[218   0  37  35   6   0]
 [  0 221   5   1   3  10]
 [  4   3 949  32   8   2]
 [  3   0  28 536   6   1]
 [  2   3   3   3 644   0]
 [  0   4   5   5  11 735]]"
A,B,latent,0.8870787454591301,0.8916037040369993,0.8870787454591301,0.982676192350894,0.9885707369044437,"[[13  0  2  2  2  0]
 [ 0  8  1  0  0  0]
 [ 1  0 39  0  2  1]
 [ 0  0  4 27  0  0]
 [ 0  0  0  0 28  0]
 [ 0  1  0  0  1 68]]"
A,C,latent,0.7828076678548804,0.7955991194092492,0.7828076678548804,0.9725534158199977,0.9761104939761664,"[[ 22   1  12   1   2   1]
 [  0   8   2   2   4   3]
 [  0   0 164  13   8   1]
 [  1   0   2  67   1   2]
 [  0   0   0   0  71   0]
 [  0   3   4   3   3 135]]"
A,MARISMA,latent,0.5426593282817088,0.4202932181727214,0.5426593282817088,0.9232183956271371,0.8689277699630741,"[[   1    3    7    2    6    1]
 [   0   66    3    3   37   72]
 [   3   33  194   14   61   12]
 [   7  572  503 1666  299  127]
 [   0   35    0    1  275    1]
 [   0   27    1    0   55  386]]"
A,RKI,latent,0.5757850241545893,0.43522040629110353,0.5757850241545893,0.883514267671293,0.8767274268139659,"[[ 2  0  2  3  1  1]
 [ 0 23  2  5  7 35]
 [ 0  0 12  0  0  0]
 [ 0  0  1  1  0  0]
 [ 0  0  0  0 12  0]
 [ 0  5  2  1 19 19]]"
A,D (OOD),latent,0.7160643653580214,0.6158490740569199,0.7160643653580214,0.9415939517514142,0.9288772826017778,"[[ 274    7   49   86   20    1]
 [   0  123    4    9   28    7]
 [ 141  111  793  493  313  147]
 [  53   10   96 1967   20    5]
 [   2    8    8   15  287   24]
 [   7  201   19   49  148 1744]]"
A,MSUMG (OOD),latent,0.19782193184733587,0.10712226613795557,0.19782193184733587,0.8391899234230484,0.5619273168019602,"[[   0    0   76    0 1322  212]
 [   0    1  329    0 1408  377]
 [   0    0  720    0 8956 1365]
 [   0    0  217    0 2607  345]
 [   0    0  220    0 3284  143]
 [   0    0  620    0 4607 1481]]"
B,A,latent,0.5158814863458908,0.5367714450277021,0.5158814863458908,0.9166365052867099,0.8745990309790691,"[[ 46   1 129  18   0 102]
 [  1  87  16   0   2 134]
 [  1   1 786  37   0 173]
 [ 24   2 180 152   0 216]
 [  0   5  32   1 393 224]
 [  0   2  30  18   7 703]]"
B,B,latent,0.6980768479505007,0.7209342467769434,0.6980768479505007,0.9623293561463022,0.9809622722491428,"[[10  0  6  3  0  0]
 [ 0  1  1  0  0  7]
 [ 0  0 36  4  0  3]
 [ 1  0  2 27  0  1]
 [ 0  0  0  0 24  4]
 [ 0  0  1  0  0 69]]"
B,C,latent,0.5261224782584281,0.5455795715673865,0.5261224782584281,0.9281179607393962,0.8843390741098053,"[[ 10   0  15   8   1   5]
 [  0   1   0   1   0  17]
 [  0   0 128  26   0  32]
 [  0   0  15  32   1  25]
 [  0   0   2   2  56  11]
 [  0   0   3   7   0 138]]"
B,MARISMA,latent,0.39397919374768126,0.34273805468378676,0.39397919374768126,0.9073088144644824,0.7738777003592073,"[[   1    0    6    7    0    6]
 [   0    2   42   13   13  111]
 [   7    0  148   98    3   61]
 [   9    2  872 1956    6  329]
 [   0    0   58   29  167   58]
 [   5    0   23   41   79  321]]"
B,RKI,latent,0.4373993558776168,0.2437152223994329,0.4373993558776168,0.8448439082753435,0.8459322044001415,"[[ 2  0  5  2  0  0]
 [ 0  0 32 13  4 23]
 [ 0  0  7  5  0  0]
 [ 0  0  0  2  0  0]
 [ 0  0  0  4  8  0]
 [ 0  0 16 22  1  7]]"
