train,test,space,balanced_accuracy,f1_macro,recall_macro,specificity_macro,roc_auc,cm
A,A,latent,0.9521417094955655,0.9568108863010094,0.9521417094955655,0.9929037056914893,0.9977401863657311,"[[245   0   7  40   4   0]
 [  0 233   3   0   4   0]
 [  3   1 968  18   5   3]
 [  6   1   8 556   3   0]
 [  1   0   1   7 646   0]
 [  2   1   0   3   2 752]]"
A,B,latent,0.958655359328554,0.9633449795575673,0.958655359328554,0.9939320845739269,0.997670290989125,"[[15  0  1  3  0  0]
 [ 0  9  0  0  0  0]
 [ 0  0 42  1  0  0]
 [ 0  0  0 31  0  0]
 [ 0  0  0  0 28  0]
 [ 0  0  1  0  0 69]]"
A,C,latent,0.8867000617570261,0.8981642766228033,0.8867000617570261,0.9870443169687749,0.9930922227660594,"[[ 28   1   5   2   3   0]
 [  0  14   1   2   2   0]
 [  0   0 175   5   6   0]
 [  0   0   1  70   2   0]
 [  0   0   0   1  70   0]
 [  0   1   0   1   1 145]]"
A,MARISMA,latent,0.701470091577105,0.5513851916439927,0.701470091577105,0.9400442679177142,0.9424414257246955,"[[   2    1    2    8    7    0]
 [   0  153    0    0   17   11]
 [   2   20  235   10   48    2]
 [  10  231  229 1864  825   15]
 [   0    6    1    0  305    0]
 [   0   17    0    0    3  449]]"
A,RKI,latent,0.5821256038647343,0.39916596293801176,0.5821256038647343,0.920821476192451,0.9075744940202437,"[[ 0  0  3  3  3  0]
 [ 0 48  4  5  9  6]
 [ 0  0 12  0  0  0]
 [ 0  0  0  1  1  0]
 [ 0  0  0  0 12  0]
 [ 0  1 17  2 11 15]]"
A,D (OOD),latent,0.794177684753484,0.7309487542890741,0.794177684753484,0.9633757712160699,0.9642506946659067,"[[ 258    5   21  140   13    0]
 [   0  153    2    2   14    0]
 [  67   71 1259  355  205   41]
 [  56    5   31 2033   26    0]
 [   2   18   18   27  267   12]
 [   6   85   12   23   29 2013]]"
A,MSUMG (OOD),latent,0.1539253452514544,0.12855217408583405,0.1539253452514544,0.8308608448617322,0.5016343072187072,"[[   0   11  387    0  400  812]
 [   0    1 1011    0  299  804]
 [   0  142 3562    0 2419 4918]
 [   0   39 1033    0  890 1207]
 [   0   87  416    0  486 2658]
 [   0   21 2855    0  698 3134]]"
B,A,latent,0.7168680349821118,0.7390269962393387,0.7168680349821118,0.9536656342071446,0.9413110391140314,"[[169   1  29  36   0  61]
 [  0 137  40   3   3  57]
 [ 10   6 908  17   0  57]
 [ 60   5  76 285   0 148]
 [  3  14  25  11 495 107]
 [  0   0   1   0   1 758]]"
B,B,latent,0.8723335804711412,0.8915370665370665,0.8723335804711412,0.9880603180902838,0.9968300705505803,"[[15  0  0  4  0  0]
 [ 0  5  4  0  0  0]
 [ 1  0 41  1  0  0]
 [ 2  0  0 29  0  0]
 [ 0  0  0  0 28  0]
 [ 0  0  0  0  0 70]]"
B,C,latent,0.6792673852327047,0.7157726992771241,0.6792673852327047,0.9589472445845066,0.9477716824364454,"[[ 17   0   3  13   0   6]
 [  0   8   5   0   0   6]
 [  2   0 169  11   0   4]
 [  7   1   9  36   1  19]
 [  0   0   3   2  58   8]
 [  0   0   0   0   0 148]]"
