train,test,space,balanced_accuracy,f1_macro,recall_macro,specificity_macro,roc_auc,cm
A,A,original,0.9988481948410953,0.9991292413099492,0.9988481948410953,0.9998098742928686,0.99999722366272,"[[296   0   0   0   0   0]
 [  0 239   1   0   0   0]
 [  0   0 997   0   1   0]
 [  0   0   1 573   0   0]
 [  0   0   0   0 655   0]
 [  0   0   0   0   0 760]]"
A,A,latent,0.9486552294125162,0.9547282764889037,0.9486552294125162,0.991711534345863,0.9973743788003963,"[[268   0  12  16   0   0]
 [  0 217   5   1   9   8]
 [  4   2 959  29   2   2]
 [  5   0  17 548   4   0]
 [  0   0   2   4 647   2]
 [  0   2   2   4   8 744]]"
A,B,original,1.0,1.0,1.0,1.0,1.0,"[[19  0  0  0  0  0]
 [ 0  9  0  0  0  0]
 [ 0  0 43  0  0  0]
 [ 0  0  0 31  0  0]
 [ 0  0  0  0 28  0]
 [ 0  0  0  0  0 70]]"
A,B,latent,0.9244165364649434,0.9312757172943126,0.9244165364649434,0.9865354887887161,0.9930833643972199,"[[16  0  1  2  0  0]
 [ 0  9  0  0  0  0]
 [ 0  0 42  0  1  0]
 [ 0  0  8 23  0  0]
 [ 0  0  0  0 28  0]
 [ 0  0  0  0  1 69]]"
A,C,original,0.9934433907036647,0.9957948069509935,0.9934433907036647,0.9990476190476191,0.9999742041995563,"[[ 38   0   1   0   0   0]
 [  0  19   0   0   0   0]
 [  0   0 186   0   0   0]
 [  0   0   1  72   0   0]
 [  0   0   0   0  71   0]
 [  0   0   0   0   0 148]]"
A,C,latent,0.847498328111494,0.8587805985231212,0.847498328111494,0.9804762711943336,0.9836004563046098,"[[ 29   0   5   2   2   1]
 [  0  11   0   0   8   0]
 [  1   0 171   6   8   0]
 [  0   0   5  68   0   0]
 [  0   0   1   0  70   0]
 [  0   3   3   1   4 137]]"
A,MARISMA,original,0.9980808375394487,0.9893230006912622,0.9980808375394487,0.9994699294563908,0.9998620839559426,"[[  20    0    0    0    0    0]
 [   0  180    0    1    0    0]
 [   0    0  316    0    0    1]
 [   2    0    4 3165    0    3]
 [   0    0    0    0  312    0]
 [   0    0    0    0    0  469]]"
A,MARISMA,latent,0.5811051558395224,0.43340484634656035,0.5811051558395224,0.9146381523917105,0.9097220331483499,"[[   4    1    7    1    7    0]
 [   0   58    3    1   90   29]
 [   0   10  221    7   77    2]
 [  20  285  499 1365  957   48]
 [   0    4    1    0  305    2]
 [   0    7    3    1   54  404]]"
A,RKI,original,1.0,1.0,1.0,1.0,1.0,"[[ 9  0  0  0  0  0]
 [ 0 72  0  0  0  0]
 [ 0  0 12  0  0  0]
 [ 0  0  0  2  0  0]
 [ 0  0  0  0 12  0]
 [ 0  0  0  0  0 46]]"
A,RKI,latent,0.4711151368760064,0.36884463461063444,0.4711151368760064,0.8788975892511955,0.8916087989748487,"[[ 3  0  5  1  0  0]
 [ 0 23  0  0 30 19]
 [ 0  0 12  0  0  0]
 [ 0  0  2  0  0  0]
 [ 0  0  0  0 12  0]
 [ 0  2  1  0 35  8]]"
