train,test,space,balanced_accuracy,f1_macro,recall_macro,specificity_macro,roc_auc,cm
A,A,latent,0.9420125666065519,0.9482848352866006,0.9420125666065519,0.9904721286232027,0.9966500612168018,"[[243   0  16  31   4   2]
 [  0 231   3   3   3   0]
 [  3   1 954  33   6   1]
 [  3   0  25 541   3   2]
 [  1   0   0   3 651   0]
 [  1   3   2   6   6 742]]"
A,B,latent,0.8508993789800833,0.8578443646858175,0.8508993789800833,0.9751053539725785,0.987006597808647,"[[10  0  8  1  0  0]
 [ 0  9  0  0  0  0]
 [ 0  0 40  2  1  0]
 [ 0  0 10 21  0  0]
 [ 0  0  0  0 28  0]
 [ 0  1  0  1  0 68]]"
A,C,latent,0.8545510325401945,0.8555446692049996,0.8545510325401945,0.9799681918979681,0.9805430202978055,"[[ 27   1   7   2   2   0]
 [  0  14   0   3   2   0]
 [  0   0 173   9   4   0]
 [  3   0   6  61   1   2]
 [  0   0   0   0  71   0]
 [  4   3   0   3   0 138]]"
A,MARISMA,latent,0.6396741912458673,0.5174403231214421,0.6396741912458673,0.9312498965677584,0.9333892596254648,"[[   4    1    5    3    4    3]
 [   0   77    0    2   92   10]
 [   1   18  242   15   36    5]
 [   0  140  556 1744  679   55]
 [   0    4    0    0  308    0]
 [   1   16    1    2   21  428]]"
A,RKI,latent,0.529891304347826,0.3681167257505658,0.529891304347826,0.8947845688531171,0.8779682954560432,"[[ 0  0  5  3  0  1]
 [ 0 27  0  1 37  7]
 [ 0  0 12  0  0  0]
 [ 0  0  1  1  0  0]
 [ 0  0  0  0 12  0]
 [ 0  0  0  4 28 14]]"
A,D (OOD),latent,0.7616070204221583,0.6849305413110067,0.7616070204221583,0.9522096877987795,0.9488056132062276,"[[ 268    4   49   81   29    6]
 [   1  140    0    1   26    3]
 [  26  102 1032  367  412   59]
 [   6    2   96 2019   20    8]
 [   2    5    6   15  290   26]
 [   2  101    9  113  123 1820]]"
A,MSUMG (OOD),latent,0.1476143135033207,0.07373958438476953,0.1476143135033207,0.8298365213959696,0.5509847958642792,"[[   0  139  196    0 1275    0]
 [   0  392  284    0 1439    0]
 [   0 1777 1054    0 8210    0]
 [   0  512  247    0 2410    0]
 [   0 1117  324    0 2206    0]
 [   0 1400  842    0 4466    0]]"
B,A,latent,0.607866320295804,0.6436857509452482,0.607866320295804,0.9333847201350585,0.8985295659129265,"[[117   0  26  10   0 143]
 [  0 102  11   0  12 115]
 [  4   1 822  54   1 116]
 [ 22   0  93 206   0 253]
 [  2   2  20   6 460 165]
 [  5   0  17  18   4 716]]"
B,B,latent,0.7882815263130737,0.8233538085870205,0.7882815263130737,0.9721620071349643,0.9878062137730043,"[[13  0  4  2  0  0]
 [ 0  4  0  0  0  5]
 [ 0  0 36  4  1  2]
 [ 0  0  4 27  0  0]
 [ 1  0  0  0 25  2]
 [ 0  0  0  0  0 70]]"
B,C,latent,0.6262834928187687,0.6650816111441036,0.6262834928187687,0.9430077167639269,0.9145947256414324,"[[ 18   0   3   8   0  10]
 [  0   5   2   1   0  11]
 [  0   0 133  31   0  22]
 [  1   0   4  36   0  32]
 [  0   0   0   2  60   9]
 [  1   0   1   0   1 145]]"
B,MARISMA,latent,0.4583454917813589,0.43545719297565544,0.4583454917813589,0.9340166258949437,0.8708752702563677,"[[   2    0    3    9    0    6]
 [   0    4   21   57   60   39]
 [   2    0  168  125    1   21]
 [   7    1  192 2781   23  170]
 [   0    0   49   56  167   40]
 [   5    1   72   29   40  322]]"
B,RKI,latent,0.4355877616747182,0.28548570151627783,0.4355877616747182,0.8596895097660399,0.8129836595799822,"[[ 2  0  3  2  1  1]
 [ 5  0  2 30 21 14]
 [ 0  0  7  5  0  0]
 [ 1  0  0  1  0  0]
 [ 0  0  0  1 11  0]
 [ 0  5  2 17  4 18]]"
B,D (OOD),latent,0.284549204869136,0.2801518528530542,0.284549204869136,0.8563202998758531,0.7361643111316623,"[[  43    0   31   23    0  340]
 [   0    8    4    4    3  152]
 [   4    8  442  302    8 1234]
 [   2    1   36  154    2 1956]
 [   0    0   12   11  102  219]
 [   0    2   52    5    0 2109]]"
B,MSUMG (OOD),latent,0.23687274082588003,0.1602919706641315,0.23687274082588003,0.8525641729876242,0.6198083138485516,"[[  14   13  206    1 1206  170]
 [   5  100    2    1 1382  625]
 [  12  177  784    9 8008 2051]
 [   9   35   53    1 2522  549]
 [  18   93  102    4 2821  609]
 [   4  125   63    3 3022 3491]]"
C,A,latent,0.7214721074980752,0.7526330035821364,0.7214721074980752,0.9543173176550387,0.9598872830696518,"[[168   5  63  51   0   9]
 [  1 113  30   4  26  66]
 [  2   5 924  49   2  16]
 [  4   4 143 404   0  19]
 [  0  25  37   9 550  34]
 [  4   2 101  24   5 624]]"
C,B,latent,0.6404802171720875,0.6675125558995528,0.6404802171720875,0.9494859378142383,0.9746206366497153,"[[ 8  0 11  0  0  0]
 [ 0  3  2  0  3  1]
 [ 0  0 42  1  0  0]
 [ 0  0 21  9  1  0]
 [ 0  0  3  0 25  0]
 [ 1  0  3  1  0 65]]"
C,C,latent,0.8570574498888938,0.882308929421095,0.8570574498888938,0.9789637717861438,0.9855039590829473,"[[ 25   0   9   4   0   1]
 [  0  16   0   0   0   3]
 [  1   1 180   3   0   1]
 [  0   0  16  55   0   2]
 [  0   0   1   1  69   0]
 [  0   1   3   1   0 143]]"
