train,test,space,balanced_accuracy,f1_macro,recall_macro,specificity_macro,roc_auc,cm
A,A,latent,0.9973357698013524,0.9978273901715914,0.9973357698013524,0.9995806166148055,0.9999510797304533,"[[294   0   0   0   2   0]
 [  0 239   1   0   0   0]
 [  0   0 996   1   1   0]
 [  0   0   1 573   0   0]
 [  0   0   0   0 655   0]
 [  0   0   0   1   0 759]]"
A,B,latent,0.9648148148148148,0.9716137029524453,0.9648148148148148,0.994436341814508,0.9976824861925219,"[[19  0  0  0  0  0]
 [ 0  8  1  0  0  0]
 [ 0  0 43  0  0  0]
 [ 0  0  0 31  0  0]
 [ 0  0  0  0 26  2]
 [ 0  0  0  0  2 68]]"
A,C,latent,0.9385056977737861,0.9539214460314901,0.9385056977737861,0.9936084875658265,0.9987749402339396,"[[ 33   0   6   0   0   0]
 [  0  16   2   0   1   0]
 [  1   0 183   0   1   1]
 [  2   0   0  70   0   1]
 [  0   0   0   0  71   0]
 [  0   0   0   0   0 148]]"
A,MARISMA,latent,0.7828564631102669,0.7509398589515607,0.7828564631102669,0.971685294953956,0.9963829238519786,"[[  12    0    5    1    2    0]
 [   0   65  115    0    1    0]
 [   0    0  308    5    3    1]
 [   2    0   86 2653    6  427]
 [   0    0    1    0  291   20]
 [   0    0    1    0    0  468]]"
A,RKI,latent,0.8032407407407408,0.6346408309871562,0.8032407407407408,0.899438810454917,0.9866123731912569,"[[ 8  0  1  0  0  0]
 [ 0  1 13  0 21 37]
 [ 0  0 12  0  0  0]
 [ 0  0  0  2  0  0]
 [ 0  0  0  0 11  1]
 [ 0  0  0  0  0 46]]"
A,D (OOD),latent,0.8979103994305815,0.876604396329464,0.8979103994305815,0.9828145593929752,0.9901124257369952,"[[ 416    0   19    1    1    0]
 [   0  148   18    0    2    3]
 [  19    0 1570   58  250  101]
 [  22    0    4 2070   54    1]
 [   1    0   18    2  284   39]
 [   0    0    3    0    5 2160]]"
A,MSUMG (OOD),latent,0.47328511595472295,0.43265837639565774,0.47328511595472295,0.9311758638555284,0.9311027401748895,"[[  18    0 1334  156   29   73]
 [   0    0 1142    0  560  413]
 [   0    0 9969    0  402  670]
 [   0    0  196  399  112 2462]
 [   0    0  168    1 2978  500]
 [   0    0  109    0    4 6595]]"
B,A,latent,0.8058356587987716,0.7893521678074541,0.8058356587987716,0.9590658897899318,0.9764089391041514,"[[276   1  17   0   1   1]
 [  0 224  14   0   2   0]
 [  9   2 981   0   2   4]
 [ 64   0   8 361   5 136]
 [ 14  40  63   0 247 291]
 [  0   2   4   2   7 745]]"
B,B,latent,0.9852756892230575,0.9893674505560052,0.9852756892230575,0.9976563775926833,0.9999506245988249,"[[18  0  1  0  0  0]
 [ 0  9  0  0  0  0]
 [ 0  0 43  0  0  0]
 [ 0  0  0 31  0  0]
 [ 0  0  0  0 27  1]
 [ 0  0  0  0  0 70]]"
B,C,latent,0.8155796608417935,0.8259721994937216,0.8155796608417935,0.9748566479135636,0.9881847761764629,"[[ 33   0   6   0   0   0]
 [  0  14   5   0   0   0]
 [  1   0 184   0   0   1]
 [ 23   0   2  45   0   3]
 [  3   0   5   0  51  12]
 [  0   2   0   0   0 146]]"
B,MARISMA,latent,0.8092925262304934,0.7112787118846796,0.8092925262304934,0.9748519563294287,0.9883162574013634,"[[  20    0    0    0    0    0]
 [   0   81  100    0    0    0]
 [   2    0  295    1    5   14]
 [  34    0  116 2835    6  183]
 [   0    0   22    0  189  101]
 [   0    0    0   10    0  459]]"
B,RKI,latent,0.8360507246376812,0.6116129655132213,0.8360507246376812,0.913393121953011,0.9628857703251995,"[[ 9  0  0  0  0  0]
 [ 0  9 20  1 25 17]
 [ 0  0 12  0  0  0]
 [ 0  0  0  2  0  0]
 [ 0  0  0  0 12  0]
 [ 0  0  2  1  2 41]]"
B,D (OOD),latent,0.6126882759895813,0.5350640097307807,0.6126882759895813,0.9228018224200839,0.9340016510029789,"[[ 402    0   33    0    1    1]
 [   0  123   47    0    0    1]
 [  63    1 1675    2   12  245]
 [1152    0   67  182    3  747]
 [   2    2   84    0   40  216]
 [   0    1    4    0    0 2163]]"
B,MSUMG (OOD),latent,0.38194699524607345,0.35897902948009325,0.38194699524607345,0.9117747238147526,0.9409500251256123,"[[  139     0  1428     0    42     1]
 [    0     0  1836     0   245    34]
 [    0     0 10611     0   409    21]
 [    0     0  1778   720   180   491]
 [    1     0   498     0   164  2984]
 [    0     0    80     0   107  6521]]"
C,A,latent,0.899536885085707,0.9156793519592678,0.899536885085707,0.9851765465914878,0.9953208783694989,"[[261   0   7   0  28   0]
 [  0 184  54   0   0   2]
 [  0   3 989   0   4   2]
 [  0   0   2 472  98   2]
 [  0  12   3   0 630  10]
 [  0   0   5  10   5 740]]"
C,B,latent,0.919973544973545,0.9413852539821838,0.919973544973545,0.9942511840601013,0.9998096741060746,"[[19  0  0  0  0  0]
 [ 0  5  3  0  0  1]
 [ 0  0 43  0  0  0]
 [ 0  0  0 31  0  0]
 [ 0  0  0  0 27  1]
 [ 0  0  0  0  0 70]]"
C,C,latent,0.9542109913687998,0.9680158860969931,0.9542109913687998,0.9957046532794624,0.9991067426961164,"[[ 36   0   3   0   0   0]
 [  0  16   2   0   0   1]
 [  0   0 185   1   0   0]
 [  1   0   0  72   0   0]
 [  0   0   0   0  70   1]
 [  0   0   0   1   0 147]]"
