train,test,space,balanced_accuracy,f1_macro,recall_macro,specificity_macro,roc_auc,cm
A,A,original,0.9988481948410953,0.9991292413099492,0.9988481948410953,0.9998098742928686,0.99999722366272,"[[296   0   0   0   0   0]
 [  0 239   1   0   0   0]
 [  0   0 997   0   1   0]
 [  0   0   1 573   0   0]
 [  0   0   0   0 655   0]
 [  0   0   0   0   0 760]]"
A,A,latent,0.9972834722237413,0.997749062841539,0.9972834722237413,0.9995854051325783,0.9997061352178737,"[[294   0   0   2   0   0]
 [  0 239   1   0   0   0]
 [  0   0 997   1   0   0]
 [  0   0   1 573   0   0]
 [  0   0   0   0 655   0]
 [  0   0   0   2   0 758]]"
A,B,original,1.0,1.0,1.0,1.0,1.0,"[[19  0  0  0  0  0]
 [ 0  9  0  0  0  0]
 [ 0  0 43  0  0  0]
 [ 0  0  0 31  0  0]
 [ 0  0  0  0 28  0]
 [ 0  0  0  0  0 70]]"
A,B,latent,1.0,1.0,1.0,1.0,1.0,"[[19  0  0  0  0  0]
 [ 0  9  0  0  0  0]
 [ 0  0 43  0  0  0]
 [ 0  0  0 31  0  0]
 [ 0  0  0  0 28  0]
 [ 0  0  0  0  0 70]]"
A,C,original,0.9934433907036647,0.9957948069509935,0.9934433907036647,0.9990476190476191,0.9999742041995563,"[[ 38   0   1   0   0   0]
 [  0  19   0   0   0   0]
 [  0   0 186   0   0   0]
 [  0   0   1  72   0   0]
 [  0   0   0   0  71   0]
 [  0   0   0   0   0 148]]"
A,C,latent,0.9948304383788255,0.995805653639755,0.9948304383788255,0.9991638383215058,0.9999590324317941,"[[ 38   0   1   0   0   0]
 [  0  19   0   0   0   0]
 [  0   0 185   1   0   0]
 [  0   0   0  73   0   0]
 [  0   0   0   0  71   0]
 [  0   0   0   0   0 148]]"
A,MARISMA,original,0.9980808375394487,0.9893230006912622,0.9980808375394487,0.9994699294563908,0.9998620839559426,"[[  20    0    0    0    0    0]
 [   0  180    0    1    0    0]
 [   0    0  316    0    0    1]
 [   2    0    4 3165    0    3]
 [   0    0    0    0  312    0]
 [   0    0    0    0    0  469]]"
A,MARISMA,latent,0.9987300097028141,0.9943940880955099,0.9987300097028141,0.9996708128164684,0.999855563220695,"[[  20    0    0    0    0    0]
 [   0  181    0    0    0    0]
 [   0    0  316    1    0    0]
 [   1    0    1 3170    0    2]
 [   0    0    1    0  311    0]
 [   0    0    0    0    0  469]]"
A,RKI,original,1.0,1.0,1.0,1.0,1.0,"[[ 9  0  0  0  0  0]
 [ 0 72  0  0  0  0]
 [ 0  0 12  0  0  0]
 [ 0  0  0  2  0  0]
 [ 0  0  0  0 12  0]
 [ 0  0  0  0  0 46]]"
A,RKI,latent,1.0,1.0,1.0,1.0,1.0,"[[ 9  0  0  0  0  0]
 [ 0 72  0  0  0  0]
 [ 0  0 12  0  0  0]
 [ 0  0  0  2  0  0]
 [ 0  0  0  0 12  0]
 [ 0  0  0  0  0 46]]"
A,D (OOD),original,0.9165982213465239,0.8704259842045411,0.9165982213465239,0.9794617086281292,0.9944221426827604,"[[ 437    0    0    0    0    0]
 [   0  167    0    1    2    1]
 [  12   62 1362  104  187  271]
 [   1    1    2 2146    0    1]
 [   2    6    6    2  291   37]
 [   0    0    0    2    3 2163]]"
A,D (OOD),latent,0.9336426860467095,0.9119491040522724,0.9336426860467095,0.9881405423203343,0.9937001928432899,"[[ 437    0    0    0    0    0]
 [   0  169    1    0    0    1]
 [   4   50 1690   92   57  105]
 [   1    0    3 2147    0    0]
 [   1   17   24    5  266   31]
 [   0    1    4    3    0 2160]]"
A,MSUMG (OOD),original,0.8243894748672496,0.8298008214363737,0.8243894748672496,0.9751280837252794,0.9889384992387007,"[[ 941    0   38  532   99    0]
 [   0 1417    2    1  694    1]
 [   0    0 9822  355  863    1]
 [   0    0    0 2962  207    0]
 [   1    1    2    2 3641    0]
 [   0    1    1    4  871 5831]]"
A,MSUMG (OOD),latent,0.7900808983377995,0.7952219138239468,0.7900808983377995,0.9487454219205004,0.9687190914133845,"[[ 1432     0   172     6     0     0]
 [    0  1251   823     3    38     0]
 [    0     0 11036     5     0     0]
 [    0     0   187  2981     1     0]
 [    1     1   176     3  3466     0]
 [  700     1  3280   251     1  2475]]"
