train,test,space,balanced_accuracy,f1_macro,recall_macro,specificity_macro,roc_auc,cm
A,A,latent,0.6289738812730118,0.6260205227713063,0.6289738812730118,0.9430766575657353,0.9460089952385514,"[[  0   3 201  73  17   2]
 [  0 138  80   1  19   2]
 [  1   4 919  46  27   1]
 [  0   1 324 211  38   0]
 [  0   0   2  31 617   5]
 [  0   0   1   6  17 736]]"
A,B,latent,0.6111548720513461,0.5656802787435123,0.6111548720513461,0.9435817980033293,0.9466660516135729,"[[ 0  1 17  1  0  0]
 [ 0  6  3  0  0  0]
 [ 0  2 41  0  0  0]
 [ 0  0 28  3  0  0]
 [ 0  1  0  0 27  0]
 [ 0  0  0  1  0 69]]"
A,C,latent,0.6733738067226122,0.6473823919399689,0.6733738067226122,0.9530659903883963,0.9340164354360484,"[[  0   0  28   6   3   2]
 [  0  14   1   4   0   0]
 [  0   7 166  10   3   0]
 [  0   1  32  36   4   0]
 [  0   0   0   1  69   1]
 [  0   0   0   5   3 140]]"
A,MARISMA,latent,0.5755679640442775,0.3761054471081169,0.5755679640442775,0.8725185481552472,0.844930509305451,"[[   0    2    8    1    7    2]
 [   0  150    4    1   17    9]
 [   0   21  205   14   48   29]
 [   1   55 2108  259  300  451]
 [   0    5    0    3  283   21]
 [   0    0    0    4    1  464]]"
A,RKI,latent,0.501610305958132,0.383813613862875,0.501610305958132,0.9109183552296362,0.8474748654861922,"[[ 0  0  7  0  2  0]
 [ 0 32  9  2 14 15]
 [ 0  0 12  0  0  0]
 [ 0  0  2  0  0  0]
 [ 0  0  0  0 12  0]
 [13  0  7  0  0 26]]"
A,D (OOD),latent,0.6404664019944665,0.5474817354173633,0.6404664019944665,0.9364167161746582,0.8817363741976227,"[[   0   15   80  310   30    2]
 [   0  146    3   11    8    3]
 [   0  181  826  633  291   67]
 [   0   11  126 1981   30    3]
 [   0   12    4   52  262   14]
 [   0    1    4  210   17 1936]]"
A,MSUMG (OOD),latent,0.16206114494848148,0.04324090069596329,0.16206114494848148,0.8319701817410566,0.5668460174678237,"[[    0     0     0     0  1558    52]
 [    0     0     0     0  1869   246]
 [    0     0     0     0 10583   458]
 [    0     0     0     0  2965   204]
 [    0     0     0     0  3475   172]
 [    0     0     0     0  6577   131]]"
B,A,latent,0.1710447608340956,0.06829621435470544,0.1710447608340956,0.8346806584146926,0.7125659102043552,"[[  0   0   1   2   0 293]
 [  0   0   0   0   0 240]
 [  0   0  21   1   0 976]
 [  0   0   3   3   0 568]
 [  0   0  17   2   0 636]
 [  0   0   0   0   0 760]]"
B,B,latent,0.1744186046511628,0.10188351517125331,0.1744186046511628,0.8361179160542217,0.7672776853949559,"[[ 0  0  0  0  0 19]
 [ 0  0  0  0  0  9]
 [ 0  0  2  0  0 41]
 [ 0  0  0  0  0 31]
 [ 0  0  1  0  0 27]
 [ 0  0  0  0  0 70]]"
B,C,latent,0.16756272401433692,0.07430340557275542,0.16756272401433692,0.833622974963181,0.730444389710542,"[[  0   0   0   0   0  39]
 [  0   0   0   0   0  19]
 [  0   0   1   0   0 185]
 [  0   0   0   0   0  73]
 [  0   0   3   0   0  68]
 [  0   0   0   0   0 148]]"
B,MARISMA,latent,0.19124133585381223,0.07767505740466533,0.19124133585381223,0.8499580201499239,0.6666909727038752,"[[   0    0    0    5    0   15]
 [   0    0    0    7    0  174]
 [   0    0    0    5    0  312]
 [   0    0    3  468    0 2703]
 [   0    0    0   16    0  296]
 [   0    0    0    0    0  469]]"
B,RKI,latent,0.10809178743961352,0.07602862254025045,0.10809178743961352,0.8155391883806812,0.6906339781836747,"[[ 0  0  0  0  0  9]
 [ 0  0  0  6  0 66]
 [ 0  0  1  0  0 11]
 [ 0  0  0  0  0  2]
 [ 0  0  0  0  0 12]
 [ 0  0  0 20  0 26]]"
B,D (OOD),latent,0.16697842274796526,0.0776949405270064,0.16697842274796526,0.8334671109710267,0.6369998921312917,"[[   0    0    0    2    0  435]
 [   0    0    0    0    0  171]
 [   0    0    0    4    0 1994]
 [   0    0    1    7    0 2143]
 [   0    0    1    0    0  343]
 [   0    0    0    3    0 2165]]"
B,MSUMG (OOD),latent,0.16666666666666666,0.06389301634472512,0.16666666666666666,0.8333353805016713,0.6520593669335984,"[[    0     0     0     1     0  1609]
 [    0     0     0     0     0  2115]
 [    0     0     0     0     0 11041]
 [    0     0     0     0     1  3168]
 [    0     0     0     0     0  3647]
 [    0     0     0     0     0  6708]]"
C,A,latent,0.22041187638434764,0.1471861471861472,0.22041187638434764,0.8512055045485639,0.6872562058141941,"[[  0   0 262   0   0  34]
 [  0   0 152   0   0  88]
 [  0   0 918   1   0  79]
 [  0   0 463   0   0 111]
 [  0   0 449   0   0 206]
 [  0   0 454   0   0 306]]"
C,B,latent,0.23150609080841641,0.16226705898837046,0.23150609080841641,0.861170994610485,0.77412494137474,"[[ 0  0 17  0  0  2]
 [ 0  0  5  0  0  4]
 [ 0  0 37  0  0  6]
 [ 0  0 27  0  0  4]
 [ 0  0 21  0  0  7]
 [ 0  0 33  0  0 37]]"
C,C,latent,0.28016322774387287,0.21326226592702877,0.28016322774387287,0.8832056946489937,0.7517627764876657,"[[  0   0  26   0   0  13]
 [  0   0   3   0   0  16]
 [  0   0 143   0   0  43]
 [  0   0  43   0   0  30]
 [  0   0  43   0   0  28]
 [  0   0  13   0   0 135]]"
C,MARISMA,latent,0.20554393422701722,0.06408178748909373,0.20554393422701722,0.8371128390377668,0.5796324435808186,"[[   0    0    1    0    0   19]
 [   0    0    4    0    0  177]
 [   0    0   78    0    0  239]
 [   0    0  465    0    0 2709]
 [   0    0   38    0    0  274]
 [   0    0    6    0    0  463]]"
C,RKI,latent,0.2584541062801932,0.12797814207650274,0.2584541062801932,0.8433088089083317,0.8451771860232862,"[[ 0  0  8  0  0  1]
 [ 0  0 10  0  0 62]
 [ 0  0 10  0  0  2]
 [ 0  0  2  0  0  0]
 [ 0  0  6  0  0  6]
 [ 0  0 13  0  0 33]]"
C,D (OOD),latent,0.21611309956943411,0.1481175499577261,0.21611309956943411,0.8540626997956277,0.7016633830817222,"[[   0    0  195    0    0  242]
 [   0    0   10    0    0  161]
 [   0    0  637    0    0 1361]
 [   0    0 1087    0    0 1064]
 [   0    0   69    0    0  275]
 [   0    0   48    0    0 2120]]"
C,MSUMG (OOD),latent,0.15559616709205853,0.08613365867079514,0.15559616709205853,0.832530779250168,0.590242265839755,"[[   0  664    0   42    0  904]
 [   0  655    0  245    0 1215]
 [   0 4625    0  409    0 6007]
 [   0  972    0  180    0 2017]
 [   0 1366    0  162    0 2119]
 [   0 2797    0  107    0 3804]]"
MARISMA,A,latent,0.47916541500853266,0.3851242828839738,0.47916541500853266,0.9088729093056687,0.8803287865286585,"[[  0   0  15 259  10  12]
 [  0   0  19   3 168  50]
 [  0   0  88 838  40  32]
 [  0   0   9 546   6  13]
 [  0   0  14  27 568  46]
 [  0   0   6  11   7 736]]"
MARISMA,B,latent,0.48571428571428577,0.3870759742080179,0.48571428571428577,0.9252743767670332,0.9204595465254514,"[[ 0  0  0 19  0  0]
 [ 0  0  0  0  5  4]
 [ 0  0  0 42  1  0]
 [ 0  0  0 31  0  0]
 [ 0  0  0  0 26  2]
 [ 0  0  1  0  0 69]]"
MARISMA,C,latent,0.4638952643706988,0.37998467581800915,0.4638952643706988,0.9014348778650038,0.8576910742211118,"[[  0   0   0  35   1   3]
 [  0   1   9   1   7   1]
 [  0   0   9 172   4   1]
 [  0   0   0  70   0   3]
 [  0   0   0   0  60  11]
 [  0   0   4  13   1 130]]"
MARISMA,MARISMA,latent,0.5781650367388481,0.6029199842382682,0.5781650367388481,0.9525770133739426,0.9608900288519647,"[[   0    0    0   17    3    0]
 [   0   79    4   44   50    4]
 [   0    1   53  232   27    4]
 [   0    0    1 3150   18    5]
 [   0    0    3   32  277    0]
 [   0    0    0    7    0  462]]"
MARISMA,RKI,latent,0.34772544283413853,0.14456866946523908,0.34772544283413853,0.8555806052635698,0.6677703600046564,"[[ 0  0  0  8  1  0]
 [ 0  1  0 46 25  0]
 [ 0  0  0 12  0  0]
 [ 0  0  0  2  0  0]
 [ 0  0  0  2 10  0]
 [ 0  0  0 35  0 11]]"
MARISMA,D (OOD),latent,0.4787579292817313,0.4565094704204702,0.4787579292817313,0.9168406197518267,0.8135673688197764,"[[   0    0   54  372    9    2]
 [   0   13   76   25   51    6]
 [   0    0  627 1265   80   26]
 [   0    0   64 2078    6    3]
 [   0    0   33   51  255    5]
 [   0    0  255  196   36 1681]]"
MARISMA,MSUMG (OOD),latent,0.2253277916460192,0.08558776148359853,0.2253277916460192,0.8402187506449591,0.6357941458827979,"[[   0  408    1    7 1152   42]
 [   0  843    0    0 1027  245]
 [   0 5029   33   41 5529  409]
 [   0  652    0   26 2311  180]
 [   0   99    0    8 3378  162]
 [   0 1067    0    1 5533  107]]"
RKI,A,latent,0.17593591551210985,0.059600416755316875,0.17593591551210985,0.8287924977389606,0.5267828513502117,"[[  0 152  17   0 127   0]
 [  0 191   1   0  48   0]
 [  0 442  17   0 539   0]
 [  0 336  64   0 174   0]
 [  0 455  41   0 159   0]
 [  0 431  22   0 307   0]]"
RKI,B,latent,0.14087301587301587,0.0319323488577559,0.14087301587301587,0.8285353239633816,0.5280096498627599,"[[ 0 11  0  0  8  0]
 [ 0  6  0  0  3  0]
 [ 0 31  0  0 12  0]
 [ 0 20  0  0 11  0]
 [ 0 22  1  0  5  0]
 [ 0 40  2  0 28  0]]"
RKI,C,latent,0.19545342228811466,0.04359891045284303,0.19545342228811466,0.8336578056276066,0.6198454110697921,"[[  0  26   0   0  13   0]
 [  0  18   1   0   0   0]
 [  0 128   0   0  58   0]
 [  0  58   2   0  13   0]
 [  0  51   4   0  16   0]
 [  0 140   1   0   7   0]]"
RKI,MARISMA,latent,0.16826923076923075,0.015837071750405055,0.16826923076923075,0.8333701945472574,0.5065659344059262,"[[   0   20    0    0    0    0]
 [   0  181    0    0    0    0]
 [   0  301    0    0   16    0]
 [   0 3132    0    0   38    4]
 [   0  309    0    0    3    0]
 [   0  467    0    0    2    0]]"
RKI,RKI,latent,0.259963768115942,0.2467130544576197,0.259963768115942,0.8809325664233864,0.8709356893707106,"[[ 0  5  0  0  4  0]
 [ 0 69  0  0  0  3]
 [ 0  8  0  0  4  0]
 [ 0  2  0  0  0  0]
 [ 0 10  0  0  2  0]
 [ 0 26  0  0  0 20]]"
RKI,D (OOD),latent,0.16944728657123706,0.0168616351727621,0.16944728657123706,0.8332353372089788,0.645059487719,"[[   0  416    5    0   16    0]
 [   0  168    0    0    3    0]
 [   0 1926   21    0   51    0]
 [   0 2051   53    0   47    0]
 [   0  332    4    0    8    0]
 [   0 2141   19    0    7    1]]"
RKI,MSUMG (OOD),latent,0.16969156693520623,0.06386324998888171,0.16969156693520623,0.8353031679525303,0.5934308855175651,"[[    0  1510    42     0     0    58]
 [    0  1831   245     0     0    39]
 [    0 10170   409     0     0   462]
 [    0  2775   180     0     0   214]
 [    0  3277   162     0     0   208]
 [    0  5827   107     0     0   774]]"
ALL,A,latent,0.6729696174501868,0.6747640365262377,0.6729696174501868,0.9564406164091809,0.9720244080438653,"[[  1   0 175 119   0   1]
 [  0 108 124   1   4   3]
 [  0   0 961  32   2   3]
 [  0   0 156 418   0   0]
 [  2   1  10  40 592  10]
 [  0   0   3   1   4 752]]"
ALL,B,latent,0.7127507075181493,0.6970446086352237,0.7127507075181493,0.9693645648814684,0.9853198588807389,"[[ 0  0  5 14  0  0]
 [ 0  4  5  0  0  0]
 [ 0  0 41  2  0  0]
 [ 0  0  0 31  0  0]
 [ 0  0  0  2 25  1]
 [ 0  0  0  1  0 69]]"
ALL,C,latent,0.7332343339029198,0.7205981233123384,0.7332343339029198,0.9701113527336646,0.9565409596850186,"[[  0   0   8  27   0   4]
 [  0  12   6   1   0   0]
 [  0   0 166  20   0   0]
 [  0   0   3  69   0   1]
 [  0   0   0   1  67   3]
 [  0   0   0   1   1 146]]"
ALL,MARISMA,latent,0.7054747458309807,0.7341766280751097,0.7054747458309807,0.9697671069836266,0.9415867157661024,"[[   0    0    0   20    0    0]
 [   0  169    5    2    0    5]
 [   0    1  159  143    7    7]
 [   0    2    9 3152    5    6]
 [   0    6    2   50  253    1]
 [   0    0    0    3    0  466]]"
ALL,RKI,latent,0.7616747181964573,0.6267587114765792,0.7616747181964573,0.9675955657009475,0.9741514154729559,"[[ 0  0  4  5  0  0]
 [ 0 64  1  6  0  1]
 [ 0  0 11  1  0  0]
 [ 0  0  0  2  0  0]
 [ 0  0  0  1 11  0]
 [ 0  3  0  4  0 39]]"
ALL,D (OOD),latent,0.6249368563585617,0.6475200587741908,0.6249368563585617,0.9457152901639337,0.9073000654853233,"[[   1    0   63  372    0    1]
 [   0  100   59    8    1    3]
 [  12    3 1119  751   19   94]
 [   3    0   96 2052    0    0]
 [   2    1   30   54  238   19]
 [   1    1    3   89    0 2074]]"
ALL,MSUMG (OOD),latent,0.16330358886528315,0.04557141483806316,0.16330358886528315,0.8325082116849235,0.5747807609561129,"[[    0     2     6     0  1560    42]
 [    0     1     0     0  1869   245]
 [    0    12    91     0 10529   409]
 [    0     1    15     3  2970   180]
 [    0     1     4     0  3480   162]
 [    0     0     0     0  6601   107]]"
