train,test,space,balanced_accuracy,f1_macro,recall_macro,specificity_macro,roc_auc,cm
A,A,original,0.9995426392855397,0.9995426392855397,0.9995426392855397,0.9998774770661196,0.9999993077851969,"[[296   0   0   0   0   0]
 [  0 240   0   0   0   0]
 [  0   0 997   1   0   0]
 [  0   0   1 573   0   0]
 [  0   0   0   0 655   0]
 [  0   0   0   0   0 760]]"
A,A,latent,0.9980825118234083,0.998249554379589,0.9980825118234083,0.9996498155606474,0.9999362316108589,"[[294   0   0   2   0   0]
 [  0 240   0   0   0   0]
 [  0   0 995   2   1   0]
 [  0   0   1 573   0   0]
 [  0   0   0   0 655   0]
 [  0   0   0   0   0 760]]"
A,B,original,1.0,1.0,1.0,1.0,1.0,"[[19  0  0  0  0  0]
 [ 0  9  0  0  0  0]
 [ 0  0 43  0  0  0]
 [ 0  0  0 31  0  0]
 [ 0  0  0  0 28  0]
 [ 0  0  0  0  0 70]]"
A,B,latent,1.0,1.0,1.0,1.0,1.0,"[[19  0  0  0  0  0]
 [ 0  9  0  0  0  0]
 [ 0  0 43  0  0  0]
 [ 0  0  0 31  0  0]
 [ 0  0  0  0 28  0]
 [ 0  0  0  0  0 70]]"
A,C,original,0.9991039426523297,0.9984169768536345,0.9991039426523297,0.9996400287976961,0.9999925087237892,"[[ 39   0   0   0   0   0]
 [  0  19   0   0   0   0]
 [  0   0 185   1   0   0]
 [  0   0   0  73   0   0]
 [  0   0   0   0  71   0]
 [  0   0   0   0   0 148]]"
A,C,latent,0.9911602856808336,0.9940682501957011,0.9911602856808336,0.9986180657830143,0.9999875776114289,"[[ 38   0   0   0   0   1]
 [  0  19   0   0   0   0]
 [  0   0 186   0   0   0]
 [  0   0   2  71   0   0]
 [  0   0   0   0  71   0]
 [  0   0   0   0   0 148]]"
A,MARISMA,original,0.9970649714479682,0.9816600974481909,0.9970649714479682,0.9994364469442528,0.999828559610617,"[[  20    0    0    0    0    0]
 [   0  180    0    1    0    0]
 [   0    0  316    0    0    1]
 [   3    0    2 3166    0    3]
 [   1    1    0    0  310    0]
 [   0    0    0    0    0  469]]"
A,MARISMA,latent,0.9980908017148349,0.9894106316178686,0.9980908017148349,0.9996396548588268,0.9999236157929708,"[[  20    0    0    0    0    0]
 [   0  181    0    0    0    0]
 [   0    0  316    0    0    1]
 [   2    0    1 3168    1    2]
 [   0    1    0    0  310    1]
 [   0    0    0    0    0  469]]"
A,RKI,original,1.0,1.0,1.0,1.0,1.0,"[[ 9  0  0  0  0  0]
 [ 0 72  0  0  0  0]
 [ 0  0 12  0  0  0]
 [ 0  0  0  2  0  0]
 [ 0  0  0  0 12  0]
 [ 0  0  0  0  0 46]]"
A,RKI,latent,1.0,1.0,1.0,1.0,1.0,"[[ 9  0  0  0  0  0]
 [ 0 72  0  0  0  0]
 [ 0  0 12  0  0  0]
 [ 0  0  0  2  0  0]
 [ 0  0  0  0 12  0]
 [ 0  0  0  0  0 46]]"
A,D (OOD),original,0.908268818511404,0.868065807905977,0.908268818511404,0.9785248134245692,0.9834964364021438,"[[ 437    0    0    0    0    0]
 [   1  167    0    0    1    2]
 [  61  112 1363   45   27  390]
 [   1    1    0 2147    0    2]
 [   6    5    7    1  273   52]
 [   0    0    1    0    1 2166]]"
A,D (OOD),latent,0.912442717188423,0.8631189053871644,0.912442717188423,0.9816440866424226,0.9953311906108188,"[[ 435    0    0    2    0    0]
 [   0  169    1    0    0    1]
 [  73  100 1452  132   77  164]
 [   2    0    0 2148    0    1]
 [   4   20   10    6  264   40]
 [   0    1    1    2    0 2164]]"
A,MSUMG (OOD),original,0.9539479071667395,0.9689456444283598,0.9539479071667395,0.9924191074694879,0.9985334165410767,"[[ 1563     1    45     0     1     0]
 [    2  1857   247     0     1     8]
 [    8     1 11020     3     3     6]
 [    1     0   181  2984     2     1]
 [    3     3   165     1  3473     2]
 [    2     2   109     1     1  6593]]"
A,MSUMG (OOD),latent,0.9497824001269898,0.9501154328709958,0.9497824001269898,0.9921904229165662,0.9696755378100207,"[[ 1529     1     2    36    42     0]
 [    0  1847     6     3   249    10]
 [    0     3 10569    50   411     8]
 [    0     0     2  2985   181     1]
 [    1     7     2     6  3631     0]
 [    1     2     2    14   109  6580]]"
B,A,original,0.98759187086436,0.9807478370862762,0.98759187086436,0.9978373237872066,0.9994063240049211,"[[292   4   0   0   0   0]
 [  0 239   1   0   0   0]
 [  0   4 994   0   0   0]
 [  0  12   1 561   0   0]
 [  0  18   0   0 637   0]
 [  0   2   0   0   0 758]]"
B,A,latent,0.9967814811808702,0.9974441190120878,0.9967814811808702,0.9995155939579122,0.9999786682529971,"[[292   0   1   3   0   0]
 [  0 240   0   0   0   0]
 [  0   0 997   1   0   0]
 [  0   0   1 573   0   0]
 [  0   0   1   0 653   1]
 [  0   0   0   0   0 760]]"
B,B,original,0.9961240310077519,0.9892672858617132,0.9961240310077519,0.9991273996509599,1.0,"[[19  0  0  0  0  0]
 [ 0  9  0  0  0  0]
 [ 0  1 42  0  0  0]
 [ 0  0  0 31  0  0]
 [ 0  0  0  0 28  0]
 [ 0  0  0  0  0 70]]"
B,B,latent,1.0,1.0,1.0,1.0,1.0,"[[19  0  0  0  0  0]
 [ 0  9  0  0  0  0]
 [ 0  0 43  0  0  0]
 [ 0  0  0 31  0  0]
 [ 0  0  0  0 28  0]
 [ 0  0  0  0  0 70]]"
B,C,original,0.9870850659626621,0.9785455405526181,0.9870850659626621,0.9978367491308072,0.9998561912267734,"[[ 38   1   0   0   0   0]
 [  0  19   0   0   0   0]
 [  0   0 184   2   0   0]
 [  0   2   1  70   0   0]
 [  0   0   0   0  71   0]
 [  0   0   0   0   0 148]]"
B,C,latent,0.9891698864301605,0.9930121769753811,0.9891698864301605,0.9986180657830143,0.999994879672299,"[[ 37   0   1   0   0   1]
 [  0  19   0   0   0   0]
 [  0   0 186   0   0   0]
 [  0   0   1  72   0   0]
 [  0   0   0   0  71   0]
 [  0   0   0   0   0 148]]"
B,MARISMA,original,0.9932053542490472,0.9741909138154434,0.9932053542490472,0.9981694460812417,0.9992024915741027,"[[  20    0    0    0    0    0]
 [   0  181    0    0    0    0]
 [   0    1  316    0    0    0]
 [   1   34    1 3136    0    2]
 [   0    8    0    0  304    0]
 [   0    0    0    0    0  469]]"
B,MARISMA,latent,0.997408172015192,0.9856932646661445,0.997408172015192,0.9991184648084043,0.9997964397161357,"[[  20    0    0    0    0    0]
 [   0  181    0    0    0    0]
 [   0    0  316    0    0    1]
 [   2    0   11 3155    4    2]
 [   0    1    0    0  310    1]
 [   0    0    0    0    0  469]]"
